NAME,SRR13308392,SRR13308380,SRR13308381,SRR13308382,SRR13308383
IKBKAP,8.41251158383447,8.47463190710247,8.16103484323656,8.13689230497716,7.58712978653377
ARHGEF37,5.29524525362813,5.86711702053496,5.8799056646086,5.23206367643728,4.66633123005913
PDE6A,4.99096681201667,4.84439004506906,3.2357417382595,3.42704979348537,5.20737985810653
SLC26A2,7.70829149888917,6.62243809623591,7.41324227453972,8.07734392718441,7.95124248251017
LMAN2,10.4503300691915,9.79800364806068,9.9956033849816,10.8307364127856,10.5853798946522
FAT2,0,3.64081656258791,2.6467524977861,0,2.89124071724546
ATOX1,9.97203478424456,9.74754612607564,9.39790490548002,10.389756674795,10.5684036622134
SPARC,9.78780608045539,9.46871424805565,10.0667043525084,9.89880459359323,10.3331013296785
G3BP1,9.24493108289109,8.51666856922335,8.50408055674144,9.46821512356938,10.0289320445973
NEIL3,4.54844843702003,4.46173159314103,4.71481080746353,4.17574330881488,0
AGA,6.39347415759375,6.29365403430765,6.53245009833447,7.05206794813483,6.81624167090725
ASB5,3.81422005553293,3.64081656258791,3.97592065158019,0,0
EGF,0,0,3.76872887390916,3.19059526288461,0
PITX2,4.29769226086063,0,2.6467524977861,0,0
ELOVL6,9.13186927827068,9.92971352536358,10.1398586992771,10.0689712012633,10.3114014491291
TDO2,14.854448965946,15.4519815707849,15.5585950552821,14.7676143783705,14.8792014243146
CTSO,7.94526102217032,7.62211695237832,7.88087020637037,7.97384187362762,8.0800257636409
GAR1,8.90349251846448,8.24384298743032,7.93771384375572,9.29045081387611,8.57368378036453
CXCL14,6.88997243527237,6.59416176890158,7.9983529182465,6.769868918784,8.18558171202024
KLHL3,8.38860368092448,8.75880853019198,8.29276361491157,7.83177301091062,7.85051904968532
FAM13B,8.914696419417,8.92126766900321,9.02497595047434,9.59495570214395,11.6549327085675
CTBP1,6.40940313062349,5.63700701565894,6.07271154430011,6.79120621091432,7.32366943667209
MAEA,9.14143829635725,8.8837963982189,8.85830827359106,9.08766362575153,8.64943844077938
FGFRL1,10.5931544241165,9.99605310435962,10.7176478571738,9.98697336114038,9.96365526986717
BOD1L1,6.53087368292347,6.71725641369269,6.67300725458677,6.769868918784,6.52592739493009
FBXL12,7.35227643739816,7.52809509616029,7.358777396117,7.45104083064495,5.2566588252437
COPS6,8.58372192490639,8.21627875440666,7.9127260900011,8.95214849837548,8.33071124816096
RAB28,6.73427022555922,7.03381026107764,6.94358603811963,7.06963736417658,6.42175995128424
HS3ST1,4.65917529384525,3.40073047667544,4.97832595284181,2.90764075284862,4.34036618030144
CLNK,4.15381698250026,0,3.65278840056921,3.42704979348537,4.2459086101064
GSR,8.4894589039463,8.27534945051886,8.09036700465194,8.83888569894883,8.50396973741181
SLC30A9,8.51544933430275,7.71038441921438,7.59700736770661,8.74085502238446,7.87439487443503
SHISA3,4.99096681201667,4.98169332250478,4.71481080746353,3.88955036417179,4.34036618030144
ATP8A1,6.07183201971236,6.74324088352561,6.61222129052835,6.02737570030676,6.39999251383607
SMYD5,8.43213657657363,8.06481455646192,8.56147617622963,8.66775311095483,8.48341663602547
ENOX2,6.72156716726014,5.91362519127928,6.84136047066523,6.39102417138993,6.35544686567716
ABCC5,10.369173421677,11.4140880168368,12.2437460358959,10.8390841393033,10.7917055689693
MED12,10.1673468378392,10.049097101842,9.86979529527245,9.62200054594983,9.03914091885916
MARS2,6.54536285236423,6.37899916879976,6.26267486288559,5.91523631704132,4.59148170161685
TIMM8A,8.78943727505371,9.14729509826246,8.74254477579734,8.69630925477662,8.63553413104002
BTK,7.24983680719887,7.03381026107764,6.56488976274178,6.70389561544724,7.05780865404834
GLA,7.66250264266515,8.0176884287939,7.89369709103017,7.78998766591514,8.20454161980311
PCDH19,6.13066852189893,5.02470314313195,6.22256962920781,5.6838432727424,5.04855927350062
DIAPH2,9.03508631351331,8.99611506453554,9.27583826818292,9.32560729257548,10.0200405304799
SEPT6,9.8401608016822,9.60071262438713,9.54134053621167,9.79039819869523,9.30230503925957
UBE2A,9.14143829635725,9.37210224337339,9.68107468499583,9.94237082399584,10.2923271984702
NKRF,9.76322469227224,10.0672111511732,10.3097911615587,9.64854772059485,9.67961184264713
SOWAHD,7.6152127500004,7.2932506807816,7.16077014168135,6.97956913009262,6.86472447147561
RPL39,13.2514257094518,13.6865302228185,13.5601626356044,13.5778442614413,14.2791884227204
UPF3B,9.11253870470085,9.07240386194246,9.18744888916571,9.21745838368039,8.34786740213922
NDUFA1,11.0691935430688,11.1790915313248,11.0610652089786,11.1108181896251,11.5208013366914
NKAP,9.12465063173026,9.16902481219265,8.73186996085932,8.65617048686432,8.58337352218791
CUL4B,8.02496723685779,8.09539791872754,7.88087020637037,8.26823465451154,8.1663693110542
LAMP2,11.8586927446233,11.6602548784547,11.7546137646221,11.8216176678199,11.4779384887122
MCTS1,9.65214025205957,9.42523520868905,9.1743678787176,9.24284725210673,9.5222735387135
C1GALT1C1,9.88784218832695,9.13997851537012,9.34751596677626,9.88398517254109,9.77571365514871
OCRL,8.23171349763671,7.52060234507227,7.80141754594235,7.35400706473931,6.73163058463905
SYTL4,7.58747728342455,7.00187817944744,6.89337849431992,7.65101543758829,6.6783747566577
SRPX2,4.48972597599028,4.89162470788506,5.35739207658592,4.57068470680542,5.15635793007888
ZDHHC9,6.80822564317576,6.86657488586616,6.67300725458677,7.08699538830066,7.57746532511531
TRMT12,4.15381698250026,5.49129141168629,5.65729881305622,5.38022311104326,5.15635793007888
SASH3,4.15381698250026,3.74736938560072,3.06481110505706,3.72189910561722,0
XPNPEP2,6.22369214173938,6.9245008870221,6.93119700789807,6.4187079261453,6.26200404189208
APLN,9.67538134240282,10.8087745978952,10.6110066166115,9.96131917684231,9.57907221863941
TSPAN6,11.5175176970867,11.4918232356979,11.72262118815,11.2391206193581,11.7760639530804
TMEM35A,6.70875126304774,6.44381689462086,6.4305105996092,6.87353302803209,7.92099285455089
CENPI,4.54844843702003,0,3.5267098423657,4.35837532705114,0
BCORL1,7.12033654051987,7.61509809142947,7.33075396988875,7.48417265081539,9.89138932783865
CSTF2,8.6951245778143,8.44722916106286,8.52071362285947,8.0946100268971,7.98087085688661
NOX1,3.90690211262558,3.64081656258791,3.97592065158019,4.10933982665259,0
XKRX,7.3604936002255,8.00163131099531,8.12341355994469,7.7414855302277,7.97352061211252
TAF7L,8.79247727180806,9.03081321061016,8.78791078386736,7.94080846025602,7.51807819240395
SLC9A6,7.66913355762893,7.72349718490123,7.61260843023955,8.45696075254979,7.36919166235624
ARHGEF6,9.40444432057224,9.48997206113077,9.50836086295568,9.51545513220433,9.14435037587851
RBMX,8.80155901535952,8.53909166749367,9.30012867747048,9.62942389491416,9.65225179855572
ATP11C,8.50807115162956,8.28422634896082,8.56147617622963,8.16576944322155,7.97352061211252
PDZD11,6.95653360363804,7.15490780779067,7.52463639952726,7.02530600910761,6.911630807481
RAB41,10.5069479686472,10.0876382036331,10.3672509488864,10.2647208472703,10.5048153979681
P2RY4,9.50052228108194,9.99063984111123,10.011872606235,9.13641297074991,8.95952952918398
DLG3,11.456058668718,11.6499897269019,11.4837314428438,11.2849663104544,11.5433167476859
SLC25A43,7.43241497279188,6.99107513647603,8.02191244412446,7.55449021977046,7.27666388957123
MRPL11,5.94643109935106,4.33076051638716,4.23975727015982,6.02737570030676,5.2566588252437
FOSL1,5.457256118186,5.02470314313195,6.24276160137958,6.70389561544724,9.31689910005214
YIF1A,9.76322469227224,9.17141914504213,9.14516522134921,9.92558437591699,9.44199940278617
ALG13,8.02496723685779,7.98539346496171,7.44844241264361,7.78467836438714,8.0800257636409
RASGEF1C,3.99398777757746,4.26052840253007,5.53163145878449,4.61921580590928,6.58499880771415
GFPT2,6.22369214173938,6.45957630978992,6.30169530594772,6.28972053893048,7.01548913068105
SIMC1,7.12033654051987,6.8783476452086,6.53245009833447,6.52441808233104,6.2376660635435
RBM22,8.9313407992757,8.78406169568495,8.43556163093369,8.88178640662851,8.77313124932701
NDST1,10.3732400133267,10.5352506916827,10.9784337284255,10.462216460831,10.3935575691332
SLC35A4,6.64290628851859,6.10613905376754,6.39486473153009,6.86349545376926,6.30948185372136
CD74,12.3780000504201,11.9179486957051,12.5133948936838,12.011983357447,12.4613571122424
HMGXB3,7.30196565658596,7.41948064773141,7.49126817855007,7.65101543758829,7.52814736951101
CSF1R,8.20914069567695,6.89002511291294,8.08478489500532,8.33876346008882,6.02659695263459
PDGFRB,9.29509245277942,8.64969828492384,9.15051895140776,8.33149966845295,9.12125509202562
TMCO6,8.20458344207765,8.33637042493657,8.3215273759264,7.84713568277047,8.23559804768106
RNF20,8.16759770186821,8.30618253551232,8.13965724203152,8.57852811845756,8.77735857177974
PRPF19,9.59930531843343,8.72008011047099,8.15572006667085,9.14472548370718,8.41452184585565
MRPL18,8.40060715612367,8.07508121595501,7.68079779836,8.67350973711706,8.72579433704428
TOMM5,8.6149674877378,8.94944367782012,8.56548979575424,8.7159674817227,8.74318799765827
INTS10,7.96695026961711,7.71695569987294,7.75998772716238,7.98314271425031,7.45614110444465
SLC25A51,8.271475327628,8.36175232883728,7.91901371974932,8.18604772544647,7.38035127097654
KIAA0141,9.13186927827068,8.8272182278658,8.68836286748142,9.61304181171197,9.59831552798807
SPOCK1,5.9894539537365,6.32840024771451,5.39396415136656,5.81463133995784,5.74514248649544
ETF1,11.9793184338159,11.9905931945313,11.656895961079,11.5239677023185,11.8999752993913
FBXW11,9.54986115227032,9.75235219899776,9.47460960950638,9.43131682908132,9.15088168561246
DIAPH1,9.95449947422633,9.77299546658276,9.98814719555999,9.95542450640299,9.78414089544485
DOCK2,7.60141166664874,6.44381689462086,6.81463078344559,7.41025137772781,5.93874149833442
WFS1,6.16860072199487,6.18409322022456,6.11713977081648,7.07834248182362,7.09892208603511
SMTNL1,4.22754740557211,3.84659092205658,3.97592065158019,3.96659443763424,2.89124071724546
CTNND1,9.81646270396531,9.9069046763549,10.0030212371029,9.86524422934068,10.5175065581349
SLC43A3,8.43991243026629,8.24838625618407,8.41791107201172,8.24135589431354,8.5929986176132
SELENOH,6.18719926037601,6.18409322022456,5.93057609857196,5.77233916063018,7.28855963472482
CLP1,7.20490939621067,7.46703434347603,6.96804942580191,6.65817540863662,6.6783747566577
ZDHHC5,9.25378103105309,9.08261684563146,8.96850319395216,9.17547768133473,9.13449763386609
