NAME,SRR13308392,SRR13308380,SRR13308381,SRR13308382,SRR13308383
ATP5F1,11.275670439926,11.5240551506002,11.4439978206441,11.2814435484726,11.7172574724079
SLC25A33,9.67219947553473,10.4421679399213,11.2280361567452,9.88623717502147,13.4582081185578
SPSB1,7.25877164579959,7.16457867883567,6.74560161557477,7.70799287923764,7.97345888730937
GPR157,7.04087330616915,7.35355835856458,7.03909053918401,7.73576668937898,7.00104070228026
CA6,8.10061460705424,6.32842377836802,6.16028584667542,8.06840487798816,6.39993127632343
ENO1,12.1088483682899,12.6545037298775,12.5048446802336,12.8163201974974,13.3527451426837
RERE,9.2994884088552,9.52036767161518,9.75854365602765,9.13826726126058,8.72573251205368
NOC2L,8.66570041387359,7.72352089932219,7.8417364585149,8.35653648843645,7.93613523091098
KLHL17,5.70978373909515,5.66448711818237,5.62693819168811,5.87560729277423,5.43843000946786
PLEKHN1,5.15122546231584,5.52165906342084,5.0716300862791,3.80794623948457,6.73156919641726
TMEM201,6.82030576573756,6.42790697737762,7.18188500987944,6.72599703442716,7.75079496774281
PIK3CD,6.55982232140879,5.39625334574977,5.56413425581641,5.63724861679086,0
CTNNBIP1,8.57680089289111,8.35757665561364,7.76702153073804,8.2097833523915,6.88046853024508
CLSTN1,7.56643504854113,8.00165504518383,8.41795683339259,7.2342522398479,7.85045734682601
LZIC,7.44030426036209,7.67033920037173,7.65093424753193,7.57900615362186,7.19046696240499
NMNAT1,6.24171223131163,6.37902270967215,6.20213630588937,5.99073074099812,6.28587706842717
UBE4B,10.0630733894075,9.78557754437605,9.64932740030596,10.0511650985435,9.31683722585442
KIF1B,8.2001269498917,8.02302506660974,8.4268091065834,8.9495502143754,9.62195234454246
PGD,9.71127849406354,8.39083471453506,8.76370612252745,10.6349369652665,10.676408359316
TARDBP,10.573080661665,10.817997124494,10.7786076361153,10.507811574403,10.2164584439625
CASZ1,5.96821664388192,5.29448362323798,6.32086208658628,6.53687714945848,4.59142230080016
PEX14,7.72759403734188,8.14011441063303,7.84834070226373,7.8671402775444,8.12045789632912
DFFA,6.58809159449545,6.55070375192159,5.87995078082324,6.76964227692651,6.1359269583994
MASP2,9.33953239586907,9.16424797796085,8.85179561012732,9.09174038435469,9.06004990798738
SRM,8.18632429106161,7.30204212166819,8.07922682887595,9.27705100858565,9.3455897823637
EXOSC10,9.00406717195125,8.52420548782688,8.62827983999856,8.92563350697506,8.85934166183875
