"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC109631810|LOC109631810",13.5609445291359,-0.0273157942319808,1.64490338319163,-0.0166063213870833,0.986750681516875,0.999764375489961
"gene-LOC109631557|LOC109631557",7.06591485620922,0.141107633693224,1.27365206819285,0.110789780990532,0.911783049051098,0.999764375489961
"gene-tinagl1|tinagl1",718.368322457102,0.389979801317109,0.43163989874449,0.903484136780317,0.366269003646129,0.999764375489961
"gene-kcnq4|kcnq4",11.7032153235947,-0.678802858698587,1.16055390985736,-0.584895585576045,0.558617927028116,0.999764375489961
"gene-nfyc|nfyc",793.293141699403,-0.448775169467781,0.345419665391611,-1.2992171970261,0.193869401391826,0.999764375489961
"gene-LOC109631501|LOC109631501",115.663739976366,0.560102878227734,0.454802389963241,1.23153019990287,0.218124628748269,0.999764375489961
"gene-rprd1a|rprd1a",145.128237494695,0.764886086953767,0.467729275386303,1.63531796533804,0.1019824093828,0.999764375489961
"gene-LOC109631493|LOC109631493",61.3372617669375,-0.087363112855687,0.670156973343763,-0.130362163389552,0.896279900328467,0.999764375489961
"gene-fkbp9|fkbp9",109.760192940838,1.06654726825382,0.808729577803209,1.31879344780604,0.187238175355948,0.999764375489961
"gene-clasp2|clasp2",565.183303113128,-0.191302362792137,0.267635049426694,-0.714788153502052,0.474739956389877,0.999764375489961
"gene-LOC109631560|LOC109631560",796.74988793375,-0.0830730185005473,0.249331151273217,-0.333183471364619,0.738995793975242,0.999764375489961
"gene-pdcd6ip|pdcd6ip",906.285157531576,-0.0994029381207334,0.28669696520612,-0.346717789807325,0.72880334399675,0.999764375489961
"gene-LOC109631562|LOC109631562",13.0321077201848,2.78398227072796,1.61659339326317,1.7221289424599,0.0850461632423321,0.999764375489961
"gene-LOC109631563|LOC109631563",8.26375196257033,-0.438989977631396,1.76263818633925,-0.249052801098741,0.803319938490504,0.999764375489961
"gene-LOC109631869|LOC109631869",21232.0440963259,-0.0692788190220111,0.315133672543603,-0.219839468320941,0.825996180189257,0.999764375489961
"gene-snrnp40|snrnp40",287.378639800207,-0.0769955245226328,0.272216925398321,-0.282846205870444,0.77729473275689,0.999764375489961
"gene-nkain1|nkain1",126.797485327882,-0.421477138896268,0.451097778098654,-0.934336543781627,0.350130319394511,0.999764375489961
"gene-pum1|pum1",709.31159416496,-0.348616155237646,0.219052331819425,-1.59147429448515,0.111502875972979,0.999764375489961
"gene-sdc3|sdc3",607.622162406353,0.172635973414431,0.293020377412576,0.589160299835931,0.555753746071985,0.999764375489961
"gene-LOC109631914|LOC109631914",222.766915867812,0.450238469676562,0.447425409924313,1.00628721500803,0.314277428736905,0.999764375489961
"gene-LOC109631564|LOC109631564",190.155007517121,0.160344489114568,0.565413399935916,0.283588059873965,0.776726088451033,0.999764375489961
"gene-ahdc1|ahdc1",19.3175856766456,0.420304230219211,0.790266914347808,0.531850976661575,0.594829213086576,0.999764375489961
"gene-LOC109631565|LOC109631565",18.1325616770114,-0.223854544160891,1.08969505366218,-0.205428613636976,0.837237266515175,0.999764375489961
"gene-wasf2|wasf2",945.60454579088,-0.27508731984226,0.224909746981244,-1.22310092619152,0.221291578856152,0.999764375489961
"gene-sytl1|sytl1",93.3438985122585,0.0203517804119405,0.468179864130946,0.0434700036698894,0.965326875518364,0.999764375489961
"gene-pex1|pex1",151.79600222631,-0.235580548130687,0.3848908198003,-0.612071101755343,0.540490716217076,0.999764375489961
"gene-LOC109631566|LOC109631566",4.12991233670407,-1.77041994754208,3.34691683638303,-0.528970402938171,0.596825981604455,0.999764375489961
"gene-rbm48|rbm48",15.9538958938909,-0.02622253690744,0.825477960390082,-0.0317664894348584,0.974658270698796,0.999764375489961
"gene-LOC109631816|LOC109631816",762.26488444748,0.125653919642616,0.424417160377283,0.296062297601059,0.767182506066393,0.999764375489961
"gene-rp9|rp9",130.41723338205,-0.432136832385943,0.360288419475412,-1.19941915706073,0.230365002263921,0.999764375489961
"gene-cunh18orf21|cunh18orf21",52.2143485229136,0.2858467344833,0.604383636521116,0.47295578041897,0.636244727560612,0.999764375489961
"gene-LOC109631845|LOC109631845",49.7076276169431,0.569301829496041,0.773496232811798,0.736011121122757,0.461723929807997,0.999764375489961
"gene-galnt12|galnt12",120.138267498275,-0.0310775074984794,0.61988715862678,-0.0501341366182269,0.960015496843648,0.999764375489961
"gene-elp2|elp2",122.800718664964,-0.11555044092076,0.460785774220897,-0.250768247166775,0.801993292371741,0.999764375489961
"gene-ctnnal1|ctnnal1",760.715232302221,0.0157653555798335,0.346137719181657,0.0455464825304396,0.963671725616433,0.999764375489961
"gene-fam206a|fam206a",28.4567376642534,0.00731034892427583,0.631891093474855,0.011569001367111,0.990769478330662,0.999764375489961
"gene-sla|sla",89.7834995389623,-0.333355274877918,0.604699249978945,-0.551274497015707,0.581445518284175,0.999764375489961
"gene-ndrg1|ndrg1",10626.2224764358,0.254918866660926,0.299288204412413,0.851750462940575,0.394352605912769,0.999764375489961
"gene-LOC109631741|LOC109631741",1508.74508892484,0.0424535727180053,0.233989737140016,0.181433481813784,0.856027340274489,0.999764375489961
"gene-LOC109631849|LOC109631849",73.1472702002434,-0.710193175473362,0.537640690618693,-1.32094387174472,0.1865200799531,0.999764375489961
"gene-LOC109631503|LOC109631503",7.19890360481076,-1.1645358286276,1.70024524630704,-0.684922267041762,0.493392974010169,0.999764375489961
"gene-mrpl3|mrpl3",281.102169814662,-0.251832692750841,0.403882506043518,-0.623529588389019,0.532936564732262,0.999764375489961
"gene-aste1|aste1",383.497880788798,-0.497733773409212,0.351544615994154,-1.41584809086506,0.156819985845403,0.999764375489961
"gene-LOC109631717|LOC109631717",615.547430329781,-0.370502333502523,0.38703003591336,-0.957296072973166,0.338417836905905,0.999764375489961
"gene-klhl7|klhl7",87.1817397977857,0.0175385701007318,0.555373655663868,0.0315797660221514,0.974807179716186,0.999764375489961
"gene-fam126a|fam126a",167.802753522509,-0.341871947852168,0.387307650947989,-0.882688340949086,0.377404683204889,0.999764375489961
"gene-tomm7|tomm7",316.840481965699,-0.313006193241942,0.29414478381647,-1.06412287575102,0.28727303914238,0.999764375489961
"gene-LOC109631832|LOC109631832",144.144722393331,0.248220607952331,0.591611347542665,0.419567016392346,0.674801787948395,0.999764375489961
