"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC109629024|LOC109629024",278.081383592349,2.80015801504511,0.511122020509111,5.47845309473453,4.2906029041565e-08,0.000748967642949559
"gene-LOC109626020|LOC109626020",3964.60753054683,1.20932263200538,0.255783643014795,4.72791230022256,2.26840116771609e-06,0.00359974643487747
"gene-LOC109632292|LOC109632292",576.823715073939,4.19333052051762,0.849862008778336,4.93413104386848,8.05083755500428e-07,0.00359974643487747
"gene-LOC109636810|LOC109636810",290.353189838625,4.83680094084565,0.995032312031042,4.86094861680709,1.16824576860474e-06,0.00359974643487747
"gene-LOC109637784|LOC109637784",219.692163249804,2.96030324938131,0.625860901455027,4.72996993820684,2.24553085606887e-06,0.00359974643487747
"gene-ulk2|ulk2",1957.62323348884,2.30326753938679,0.483460727865303,4.76412541212345,1.89674514567e-06,0.00359974643487747
"gene-LOC109641900|LOC109641900",449.246990909655,1.83514008870773,0.376101612912285,4.8793730888246,1.06423578094359e-06,0.00359974643487747
"gene-LOC109643392|LOC109643392",13293.1422740427,2.11561947618894,0.447115675329753,4.73170499922341,2.22641815884419e-06,0.00359974643487747
"gene-LOC109644593|LOC109644593",787.870591404097,1.59437661106433,0.336397163012417,4.73956616276659,2.14176293428548e-06,0.00359974643487747
"gene-LOC109646396|LOC109646396",16730.3668559577,3.47801605642483,0.730972166915793,4.75806906725285,1.95453627655306e-06,0.00359974643487747
"gene-bco2|bco2",36.903785423266,21.2052214650082,4.40872766572023,4.80982793060411,1.51060277808922e-06,0.00359974643487747
"gene-LOC109644348|LOC109644348",315.149585975793,3.97627665606945,0.851982677544811,4.66708626932184,3.05501082601068e-06,0.00444402241490354
"gene-LOC109647435|LOC109647435",18.9996670414746,20.3107474890574,4.40999521295234,4.60561667491245,4.11245326498307e-06,0.00512764172811033
"gene-LOC109626088|LOC109626088",19.7699238134263,20.3622063525093,4.40989350903255,4.61739185102825,3.88593080596219e-06,0.00512764172811033
"gene-LOC109633427|LOC109633427",34.7795439825722,8.38092997403041,1.87193335712963,4.47715189331393,7.56454307238393e-06,0.00825291649197087
"gene-kcne1|kcne1",31.0670231353842,19.7944138104179,4.40898196903174,4.48956560708389,7.13685641782702e-06,0.00825291649197087
"gene-angptl3|angptl3",976.278054188966,2.25097217077016,0.511628437045005,4.39962286649082,1.08439167163122e-05,0.0105161894555525
"gene-LOC109640890|LOC109640890",286.103343757908,1.60988384720212,0.365367885415496,4.40619964551991,1.05200008880775e-05,0.0105161894555525
"gene-LOC109632994|LOC109632994",799.988276819595,3.9165150779886,0.897174394978414,4.36538882508215,1.26896830283506e-05,0.0116584793127835
"gene-LOC109630364|LOC109630364",2351.94330033072,3.2887373909226,0.774644895466103,4.24547739250741,2.18128502417978e-05,0.0190382556910411
"gene-LOC109646207|LOC109646207",665.674354427393,-1.40294126645097,0.334962980863285,-4.18834721029539,2.80993389809902e-05,0.0233572410120079
"gene-cunh14orf180|cunh14orf180",1230.80830305569,0.976519966598615,0.23446213074991,4.16493684278687,3.11438766867769e-05,0.024711250520199
"gene-neurod2|neurod2",26.7012233438357,7.99499660362691,1.93150828427279,4.13925048560536,3.48442341589828e-05,0.0264452587599654
"gene-cxcr4|cxcr4",218.457988814977,2.34904775342938,0.582071946928501,4.03566563519325,5.44477115901106e-05,0.0396016355632071
"gene-p4ha2|p4ha2",838.361615278176,3.63799138633153,0.904048247844581,4.02411198186068,5.71907013445465e-05,0.0399328353068161
"gene-ell|ell",312.684573925322,1.48270144782077,0.373332809207607,3.97152731089394,7.14133117573169e-05,0.0476041349094512
"gene-LOC109646726|LOC109646726",31.4104206002689,8.23069999908589,2.07623886728014,3.96423558425532,7.36315102288716e-05,0.0476041349094512
"gene-gadd45g|gadd45g",2526.46113063152,2.17696247472818,0.551458468775444,3.94764537674485,7.89235935446471e-05,0.0492032231755486
"gene-LOC109634790|LOC109634790",802.160733955223,5.89334532349496,1.49860653916731,3.93255011870531,8.40494485857423e-05,0.0505919715349213
"gene-LOC109632575|LOC109632575",541.099065404522,2.32103369865129,0.593689256732193,3.9095093474098,9.24837769412053e-05,0.0507320296307976
"gene-dennd3|dennd3",15.2328284944733,7.18416342749624,1.84149167183294,3.9012739168923,9.56878022947872e-05,0.0507320296307976
"gene-pdp1|pdp1",2238.93616539102,1.37015098752242,0.350022074138338,3.91447022561468,9.06029165420202e-05,0.0507320296307976
"gene-LOC109636704|LOC109636704",1946.50442888367,1.89070304670645,0.484706239607678,3.90071943005476,9.59072512497892e-05,0.0507320296307976
"gene-LOC109636186|LOC109636186",13.7484703782424,7.03977961466521,1.81567365085888,3.87722739234285,0.000105653603862179,0.0542438032064175
"gene-LOC109636958|LOC109636958",339.30375274889,1.85063728996964,0.478783306115564,3.86529201484512,0.00011095636675502,0.0553386953735896
"gene-jun|jun",1038.81581103969,2.31816092660203,0.610732401821113,3.79570646602279,0.000147223610952046,0.0616113037128559
"gene-LOC109646467|LOC109646467",422.043664435161,2.83752574732123,0.745082766973363,3.80833629913047,0.00013990491781559,0.0616113037128559
"gene-tor3a|tor3a",1556.33596800361,2.05019726991287,0.538469846519934,3.80745046944234,0.000140406849016954,0.0616113037128559
"gene-kif20a|kif20a",13.9513149499064,7.07089778604916,1.8530861106489,3.81574161363344,0.000135774526049257,0.0616113037128559
"gene-LOC109641488|LOC109641488",12.3416037693392,6.88414681415686,1.79912267780091,3.8263909955109,0.000130035691257125,0.0616113037128559
