NAME	SRR13308392	SRR13308380	SRR13308381	SRR13308382	SRR13308383
PDE6A	4.85683529850592	4.45098260940128	3.2356834475956	3.18929294690133	5.00097283891952
ARHGEF37	5.11154781095838	5.65342467218844	5.77282747594606	5.0655099618781	4.43836318944169
IKBKAP	8.18038386549676	8.29495626865476	7.9863623357212	7.89080945707354	7.31009522526324
SLC26A2	7.49227515750847	6.40064282067349	7.28273879911172	7.87592243306091	7.69912522819635
LMAN2	10.1997129824454	9.54068143075395	9.75843267511156	10.5933196119439	10.3414562908033
ATOX1	9.72435144945993	9.50345112218088	9.14241578938327	10.1419892219713	10.3035947432062
SPARC	9.53421996155036	9.20492939475274	9.803307474474	9.64269621900525	10.0650723525368
G3BP1	8.94386937980005	8.2685691196337	8.24844825446724	9.18814733639491	9.77276761828093
EGF	1.92512515337168	0	3.9758595824951	3.05475722001884	0
PITX2	4.07498672874782	0	2.64669769761402	0	0
ELOVL6	8.85658962408674	9.70055519628764	9.82523206758263	9.74728191408457	9.99553345273325
GAR1	8.70364207913187	7.98502127023208	7.68811431507438	9.06229343717179	8.37459139789237
ASB5	3.71406497962292	3.39053860058626	3.76866844490079	0	0
NEIL3	4.22641246138979	4.24985617728828	4.3920991949532	3.96522544887781	0
AGA	6.11014012335868	6.0544301311975	6.13878684347951	6.82118220619876	6.53562050172202
TDO2	14.5939659796101	15.1965920852225	15.3021749272577	14.5092707381411	14.6161452399307
CTSO	7.71352246336283	7.39207939862763	7.75290068331949	7.81478889230501	7.96846664693775
COPS6	8.30897542688919	7.92433788900439	7.66585580328731	8.69201989033909	8.09661733509199
FBXL12	7.06992697014111	7.29954247313176	6.94352135430665	7.25620523610909	5.05806324828602
BOD1L1	6.25810135340547	6.47945165023693	6.44794414190349	6.44442464543596	6.17174992831174
SHISA3	4.65802379422197	4.78470145333619	4.52993039398646	3.62880782141475	4.04533748794696
ATP8A1	5.83172420947906	6.52474999095689	6.43044614207238	5.72733466734742	6.09198401548648
CLNK	3.81310635180972	0	3.76866844490079	3.31234599275551	4.15407754462499
RAB28	6.47023100755591	6.79506447710198	6.68774725130517	6.76841974196061	6.09198401548648
HS3ST1	4.3634434271067	3.10259923049992	4.71474807724951	2.74095922663365	4.15407754462499
GSR	8.16640290256181	8.00647006867867	7.78767445622296	8.54918920679878	8.20801513291526
SLC30A9	8.27896930627717	7.40828470337601	7.32122573870514	8.4687920711394	7.6810657567388
FAM13B	8.6308421678971	8.74118979150161	8.73537195523615	9.38499665172514	11.3896714430914
CXCL14	6.75815773398735	6.41675275378799	7.77386536300703	6.65672731120028	8.01246054958802
KLHL3	8.14754833092021	8.53894204039924	8.0791161305259	7.66118399211147	7.59687808571006
MAEA	8.86238274669113	8.61422005114475	8.5734186488751	8.77727602565526	8.32311700681705
CTBP1	6.2404150440959	5.35211084895249	5.82732653117999	6.6333123677728	7.06753444064544
FGFRL1	10.3371049794354	9.78365197205219	10.5020794236782	9.73082875546789	9.76849785699741
SMYD5	8.17107829389106	7.83724618564282	8.31193802509684	8.44208902951663	8.22681079733295
PCDH19	5.90090679947771	4.78470145333619	5.87984155842481	5.56356505724194	4.94152982773925
ENOX2	6.48532646983348	5.65342467218844	6.51588806751943	6.02593554873669	6.27167587317759
MED12	9.90359973692939	9.778985840935	9.63209677077082	9.36203263405065	8.81638527738738
BTK	7.02930567382879	6.78268649728383	6.13878684347951	6.40348713308938	6.79270071021464
ABCC5	10.111253947966	11.1684292117175	11.9575412137852	10.5750016703579	10.4979404906226
MARS2	6.35989429937276	6.22880100697025	5.97946292124826	5.58812998974167	4.43836318944169
TIMM8A	8.45797509700482	8.88997350531522	8.50819180127221	8.43533532140794	8.30554249748849
GLA	7.4312229459199	7.79473124897197	7.6047641086734	7.54050276698624	7.93075164631771
DIAPH2	8.83022879067229	8.74438474806489	8.97448778741239	9.11184353100809	9.76635822823548
ATP11C	8.19423064016707	8.05873710642942	8.28784839688267	7.86591171641646	7.73457980222391
PDZD11	6.74567460511803	6.80733715958718	7.07320947996021	6.67976829139497	6.57527182494341
RAB41	10.2525042750962	9.84446657528259	10.1071258181248	10.0265319905827	10.207509026589
P2RY4	9.26575796381518	9.71528414897613	9.74256807273491	8.87783836377749	8.68662661159105
DLG3	11.1876087487757	11.3911568108677	11.2247563541137	10.9968914813355	11.2633678540748
FOSL1	5.22381147461942	4.73417126039447	6.02680733273956	6.44442464543596	9.02406353006151
YIF1A	9.52146189640697	8.90432725385635	8.88418289560224	9.64708695769537	9.13103664322674
SEPT6	9.55583182357476	9.35877416774796	9.2385530715645	9.51399454550427	9.02406353006151
OCRL	7.98181163566765	7.33388292515028	7.53279438250756	7.1935482622133	6.45289068857638
ZDHHC9	6.5867906977574	6.61129085768557	6.48231604634322	6.77912773551666	7.39009174306505
SYTL4	7.35108480716192	6.74490230838865	6.61215674351397	7.42933614982089	6.45289068857638
BCORL1	6.84264009414824	7.33388292515028	7.06188974097076	7.24079425596274	9.64583563991892
CSTF2	8.40339079185017	8.23261829780636	8.28298182351601	7.79909198682576	7.69912522819635
CENPI	4.29655427818759	0	3.2356834475956	4.35698408028433	0
ARHGEF6	9.13546488103094	9.19795483156599	9.18998581650487	9.24910998327445	8.87713527350058
UBE2A	8.91349993397712	9.07898817316356	9.40457664271225	9.68316590859617	10.0333934201988
NKRF	9.50303812342188	9.80981205023203	10.0176783416213	9.32779831258441	9.41401354604041
SOWAHD	7.391710239426	7.06413767919476	6.94352135430665	6.75763167668847	6.61386245059863
