Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC109626329,460.6757455,0.119394103,0.337453503,0.35380905,0.723481991,0.999392676
nup155,182.2355463,-0.387361867,0.420575954,-0.921027137,0.357036259,0.999392676
LOC109626289,270.1900606,-0.19192795,0.443961542,-0.432307603,0.665517862,0.999392676
rfx3,72.40163185,0.143712053,0.43452896,0.330730668,0.740847935,0.999392676
LOC109626073,317.913148,0.280647976,0.315888789,0.888439176,0.37430456,0.999392676
LOC109626075,26.355252,0.197473106,0.810194564,0.243735412,0.807435745,0.999392676
wdr70,237.1634497,0.072309438,0.328108489,0.220382709,0.825573111,0.999392676
LOC109626392,323.3329402,-0.220393267,0.34505763,-0.638714371,0.523008762,0.999392676
LOC109625930,532.5328388,0.411517344,0.284211121,1.44792837,0.147637084,0.999392676
LOC109626103,258.6588212,0.43295141,0.295210277,1.466586511,0.142488572,0.999392676
LOC109626331,264.9813979,-0.066006419,0.347537337,-0.189926124,0.849367021,0.999392676
LOC109626330,178.0306867,0.963406762,0.919212725,1.04807814,0.294602607,0.999392676
LOC109626514,18.16455121,-0.273954087,0.899643421,-0.304514078,0.760736269,0.999392676
zmat5,115.5777887,-0.121229831,0.45529657,-0.266265637,0.790034636,0.999392676
LOC109626516,1021.195203,0.256269127,0.279927762,0.915483071,0.359938086,0.999392676
LOC109626344,12.56072018,-0.230094208,1.607955724,-0.143097353,0.886213295,0.999392676
susd2,2607.542621,0.13983878,0.464505127,0.301048948,0.763377169,0.999392676
LOC109626252,106.881827,-0.502615782,0.428359072,-1.173351554,0.240654856,0.999392676
LOC109626254,18.1233918,-0.788232636,0.880936462,-0.894766729,0.370911799,0.999392676
LOC109626253,10.42021624,1.576115319,1.64027869,0.960882641,0.33661118,0.999392676
selplg,35.03301718,-0.078271561,0.846062115,-0.092512783,0.926290635,0.999392676
LOC109626132,38.84581307,0.500455361,0.63674426,0.785959752,0.431891067,0.999392676
LOC109626291,37.21798748,-0.112932273,0.7531669,-0.149943223,0.88080941,0.999392676
rnf185,1069.224368,0.176173754,0.351582424,0.501088056,0.616309152,0.999392676
LOC109626292,66.66611128,-0.627015884,0.639124427,-0.981054483,0.326565875,0.999392676
dgcr14,316.6945963,-0.116083438,0.272367569,-0.426201395,0.669961101,0.999392676
dgcr2,3121.675395,-0.25549644,0.42566936,-0.600222764,0.548357784,0.999392676
LOC109626176,65.89203609,0.58148983,0.545998024,1.065003543,0.286874327,0.999392676
LOC109626185,397.5410375,0.130155185,0.273255411,0.476313297,0.633851194,0.999392676
LOC109626187,106.9749721,-0.045781204,0.36806087,-0.124384872,0.90101055,0.999392676
LOC109626186,146.2350624,-0.213836655,0.493851545,-0.432997846,0.665016335,0.999392676
orai1,58.35597421,0.334139284,0.477988543,0.699052915,0.484518962,0.999392676
LOC109626208,13.39786414,-0.24410692,1.679735122,-0.14532465,0.884454553,0.999392676
LOC109626108,96.38951817,-0.819495423,0.673340364,-1.217059702,0.223581502,0.999392676
LOC109626018,8.536357855,-1.032743605,1.691546058,-0.610532359,0.541509215,0.999392676
LOC109626303,460.3075582,-0.235069647,0.46265819,-0.508084916,0.611393793,0.999392676
brf2,108.3019453,-0.448464769,0.428282077,-1.047124763,0.295042039,0.999392676
LOC109626076,1955.016408,0.150594011,0.221220304,0.680742265,0.496034588,0.999392676
aak1,59.208402,0.170192865,0.532888378,0.319378077,0.749439833,0.999392676
LOC109626110,13.37554951,1.72229985,1.529496592,1.126056677,0.26014153,0.999392676
LOC109625957,46.31847769,-0.211999753,0.726580675,-0.291777308,0.770456897,0.999392676
LOC109625978,75.11156147,-0.212426386,0.478095767,-0.444317646,0.656812945,0.999392676
LOC109625977,93.67381176,-0.169773622,0.489654146,-0.346721505,0.728800553,0.999392676
LOC109626480,617.1682011,-0.116050882,0.313980247,-0.369612049,0.711671572,0.999392676
LOC109626297,343.4096441,0.099945669,0.453421742,0.220425401,0.825539865,0.999392676
LOC109626077,322.0472292,-0.216915389,0.444241802,-0.488282255,0.625349929,0.999392676
LOC109626296,87.1874122,-0.642720918,0.65327248,-0.983848147,0.325190182,0.999392676
nfkbil1,98.6088154,-0.481741909,0.50975635,-0.945043468,0.344636684,0.999392676
slc35e4,198.5017605,-0.16236065,0.437229363,-0.371339767,0.710384482,0.999392676
LOC109626388,127.4411754,-0.538502978,0.527178238,-1.021481805,0.307026225,0.999392676
LOC109626529,60.00505136,-0.424710738,0.787700554,-0.53917791,0.589764101,0.999392676
LOC109626121,23.70886763,0.96374822,0.743847587,1.295625928,0.195104392,0.999392676
fam136a,660.5869334,0.122606003,0.357184092,0.343257178,0.731404993,0.999392676
pcyox1,466.0109532,0.119358969,0.271248465,0.440035557,0.659911354,0.999392676
LOC109626312,1343.535324,0.836990746,0.629669455,1.329254164,0.183764131,0.999392676
drg1,767.2814962,0.017476796,0.383089629,0.045620644,0.963612615,0.999392676
sppl3,194.3448594,-0.50785009,0.380254647,-1.33555262,0.181695545,0.999392676
gnaz,9.113979734,0.570811688,1.199450169,0.475894458,0.634149571,0.999392676
slc5a1,60.53853419,0.69207291,0.690899063,1.001699013,0.316488984,0.999392676
LOC109626290,1374.13126,-0.471287655,0.385167465,-1.22359155,0.221106349,0.999392676
fyb,185.0702482,-0.330553493,0.580819048,-0.569116137,0.569277328,0.999392676
atp5i,2041.409716,0.193772877,0.353037368,0.54887356,0.583092224,0.999392676
pde6b,49.55103651,0.159301354,0.509117519,0.312897018,0.754358903,0.999392676
LOC109626172,9.306398813,1.364734285,1.600950479,0.852452529,0.393962976,0.999392676
LOC109626098,18.90513606,-0.067889378,1.021160366,-0.066482583,0.946993624,0.999392676
ndufa8,1169.892769,-0.094866441,0.276090152,-0.343606754,0.731142044,0.999392676
lhx6,5.736918398,-0.506938383,2.424160819,-0.209119122,0.834355247,0.999392676
mrrf,125.9834076,0.095986491,0.517253463,0.185569548,0.852782336,0.999392676
LOC109626163,11.09158957,2.861955849,2.267540608,1.262140946,0.206898074,0.999392676
plgrkt,456.9538417,0.246616588,0.316328835,0.779620952,0.43561402,0.999392676
LOC109626181,8.956368,0.994024227,1.643634606,0.604772024,0.545330485,0.999392676
LOC109626499,543.6480021,-0.517686989,0.332896303,-1.555099846,0.119922292,0.999392676
rc3h2,43.65176088,-1.142077079,0.787423622,-1.45039728,0.146947765,0.999392676
rabgap1,344.9652915,-0.116208494,0.360619924,-0.32224646,0.74726599,0.999392676
gpr21,6.320762187,-0.480148436,1.379789814,-0.34798665,0.727850209,0.999392676
strbp,26.49037066,-1.249953807,1.123351484,-1.112700544,0.265837062,0.999392676
LOC109626546,80.2774936,-0.115285858,0.546822859,-0.210828528,0.833021077,0.999392676
urm1,27.25381891,-0.442017296,0.839749914,-0.526367778,0.598632699,0.999392676
cercam,36.87510583,0.295517543,0.723773906,0.408300908,0.683052773,0.999392676
sardh,3979.105005,0.130142069,0.307068536,0.423820919,0.671696421,0.999392676
swi5,32.51135806,-0.012418621,0.623085764,-0.019930838,0.984098545,0.999392676
slc27a4,17.7245634,-0.866959759,1.532908148,-0.565565367,0.571689277,0.999392676
LOC109625985,201280.4043,0.198145884,0.334814024,0.591808795,0.553978633,0.999392676
lcn2,34425.75933,0.088435763,0.225212893,0.392676287,0.694558587,0.999392676
exd3,84.42553535,0.180706828,0.447402434,0.403902202,0.686284637,0.999392676
cdc37l1,425.3561764,0.049737644,0.259946978,0.191337652,0.848261064,0.999392676
ak3,75.34230688,-0.444028392,0.531865875,-0.834850311,0.403801994,0.999392676
rcl1,2546.733365,-0.252336957,0.296280272,-0.851683291,0.394389897,0.999392676
anxa3,487.4335294,0.236801324,0.642383225,0.368629371,0.712404,0.999392676
LOC109626468,464.8061129,-0.228831029,0.381339225,-0.600072098,0.548458187,0.999392676
LOC109626178,997.5351572,0.013894499,0.383031662,0.036275066,0.971063031,0.999392676
pnpla7,379.8024336,0.217776398,0.368497236,0.59098516,0.554530364,0.999392676
snrpd3,202.0776242,-0.411775961,0.508841855,-0.80924153,0.418376231,0.999392676
LOC109625953,17.99406543,1.23436049,0.818168508,1.508687365,0.131378696,0.999392676
LOC109626401,176.3499956,0.310512722,0.509948841,0.608909556,0.54258439,0.999392676
LOC109626402,77.34595262,0.302594045,0.566339062,0.534298383,0.59313511,0.999392676
LOC109626276,1150.725794,0.069698587,0.521431894,0.133667672,0.89366537,0.999392676
pus1,105.9089191,-0.199894758,0.438858552,-0.455487895,0.648758274,0.999392676
noc4l,225.6201878,-0.400775676,0.375609368,-1.067001279,0.285971258,0.999392676
LOC109626341,607.4619955,0.282476614,0.321768356,0.877888111,0.380004442,0.999392676
gpn3,148.9113582,0.394588735,0.48816275,0.808313899,0.418909903,0.999392676
LOC109625947,484.7204707,0.039937869,0.279335519,0.142974544,0.886310285,0.999392676
sfswap,854.8321805,-0.452209603,0.297039266,-1.522389986,0.127911393,0.999392676
mmp17,24.59620978,-0.444857721,0.731654252,-0.608016313,0.543176654,0.999392676
ulk1,804.5132934,-0.248063055,0.461292741,-0.53775625,0.59074534,0.999392676
crkl,712.4903829,0.564759801,0.473165143,1.193578626,0.232642839,0.999392676
LOC109625955,25.33005541,1.339757809,1.144189488,1.170923018,0.241629722,0.999392676
lacc1,67.60357122,0.087712868,0.442210858,0.19835078,0.842770624,0.999392676
LOC109625956,4256.930129,-0.186705732,0.29648559,-0.629729532,0.528871557,0.999392676
LOC109626089,8.363593691,0.654650733,1.690281215,0.38730285,0.698532016,0.999392676
LOC109625919,10.1147521,1.514596428,1.517126732,0.998332174,0.318118311,0.999392676
LOC109626342,140.98753,0.512067395,0.406366302,1.260112841,0.207628659,0.999392676
dusp4,1198.83443,-0.367889641,0.509962593,-0.721405151,0.470660279,0.999392676
LOC109625993,175.9414003,-0.425297357,0.555276257,-0.765920299,0.443723727,0.999392676
LOC109626130,12.78371762,0.560511822,0.921753301,0.6080931,0.543125728,0.999392676
LOC109626578,313.6903133,-0.280015248,0.364365155,-0.768501718,0.44218917,0.999392676
LOC109626510,249.0508565,-0.018134946,0.428612975,-0.042310773,0.966250957,0.999392676
LOC109626509,178.8463414,0.428619223,0.435782728,0.98356175,0.32533104,0.999392676
LOC109625937,17.15195571,0.285547492,1.598852066,0.178595317,0.858255472,0.999392676
LOC109626558,276.2999081,-0.03759912,0.450495202,-0.083461755,0.933484386,0.999392676
LOC109626126,90.21994641,0.772088321,0.800401291,0.964626531,0.334731906,0.999392676
snx30,864.0684954,0.096168708,0.283735021,0.338938447,0.7346561,0.999392676
slc46a2,42.85052376,0.41527699,0.671516559,0.618416605,0.536300755,0.999392676
LOC109626279,1294.445506,0.178460334,0.240060336,0.743397832,0.457240857,0.999392676
LOC109626091,22.64476172,0.46957411,0.837927792,0.560399255,0.57520714,0.999392676
plppr1,136.5399393,0.157188206,0.349199199,0.450139078,0.652610161,0.999392676
LOC109626022,28.7767274,-0.796761166,0.815590002,-0.976913846,0.328611806,0.999392676
smad2,192.3601274,0.938726349,0.743611722,1.262387779,0.206809285,0.999392676
katnal2,40.0299333,-0.204661384,0.573077436,-0.357126927,0.720996787,0.999392676
LOC109625940,127.599542,0.509320253,0.498918645,1.020848304,0.307326315,0.999392676
hdhd2,51.48921834,-0.258875368,0.591850022,-0.437400284,0.661821078,0.999392676
sigmar1,804.2828906,0.0463703,0.267533638,0.17332512,0.86239588,0.999392676
galt,371.9783523,-0.342720608,0.361596553,-0.947798328,0.343232132,0.999392676
LOC109626986,92.83925645,-0.39271733,0.50026518,-0.785018317,0.432442829,0.999392676
trub1,75.26993283,-0.290893993,0.443659851,-0.65566896,0.512037145,0.999392676
LOC109626804,292.2262185,0.172689992,0.433415224,0.398440069,0.690305827,0.999392676
LOC109626673,1144.970067,-0.372265567,0.237825892,-1.565286122,0.117515836,0.999392676
rab3gap1,470.4019564,0.196617278,0.333289807,0.589928865,0.555238341,0.999392676
llgl2,527.1604688,-0.025196624,0.322801921,-0.078055991,0.937783515,0.999392676
LOC109627168,48.61801986,0.40884404,0.515863783,0.792542631,0.428044345,0.999392676
LOC109626678,101.7768924,0.526731551,0.698977771,0.753574109,0.451104996,0.999392676
ipmk,511.9308114,-0.252470082,0.261346455,-0.966035991,0.334026172,0.999392676
naglu,97.30738497,0.284325221,0.463534546,0.613385179,0.539621684,0.999392676
LOC109627022,610.8835967,-0.210754001,0.267318224,-0.788401172,0.430462085,0.999392676
LOC109627134,453.5679548,0.225240035,0.513489801,0.438645587,0.66091836,0.999392676
LOC109626598,5.325773595,1.602577331,2.483048305,0.645407231,0.518663319,0.999392676
LOC109627033,672.4043103,-0.457831014,0.299744603,-1.527403691,0.126660659,0.999392676
dcxr,726.4469865,0.118585113,0.328367428,0.361135433,0.717998206,0.999392676
LOC109626679,27.60441623,-0.095401432,1.131949603,-0.084280635,0.932833308,0.999392676
exoc6,148.5936254,-0.695685787,0.700627982,-0.99294605,0.320736247,0.999392676
LOC109626586,222.8363703,-0.54524766,0.487725921,-1.117938656,0.263593194,0.999392676
jmjd1c,577.3756326,0.051566447,0.350535349,0.147107695,0.883047016,0.999392676
nrbf2,256.5586749,-0.318903513,0.382810082,-0.833059337,0.404811265,0.999392676
nhlrc3,438.2844938,0.489807553,0.406239013,1.20571274,0.227928271,0.999392676
egr2,38.3879401,5.068728698,3.47825896,1.457260301,0.145044541,0.999392676
ado,377.5137345,-0.521567877,0.322160506,-1.618969016,0.10545393,0.999392676
bms1,398.0181991,-0.131110363,0.403539324,-0.324901083,0.745255937,0.999392676
LOC109627026,124.4047453,-0.133166555,0.480061886,-0.277394558,0.78147716,0.999392676
LOC109626667,11.16804343,0.749666488,1.60198382,0.467961336,0.63981224,0.999392676
LOC109626740,139.9684122,-0.537598541,0.492932717,-1.090612415,0.275443464,0.999392676
LOC109626684,164.9355594,-0.332562746,0.449236012,-0.740285146,0.459126992,0.999392676
LOC109626741,215.3010231,0.198200132,0.367917634,0.538707889,0.59008843,0.999392676
LOC109626736,54.96780817,-0.178530679,0.68552934,-0.260427481,0.794534048,0.999392676
tmem94,267.2478308,-0.302429518,0.391977163,-0.77154882,0.440381697,0.999392676
LOC109626746,19849.74266,0.281041939,0.343729481,0.817625354,0.413571146,0.999392676
mbtd1,150.996914,-0.433360618,0.53864806,-0.804533888,0.421088706,0.999392676
tdrkh,216.8428165,-0.341844932,0.351156501,-0.973483136,0.330313238,0.999392676
mrpl27,147.5040138,0.062897277,0.392158746,0.160387287,0.872576004,0.999392676
LOC109626745,179.5848516,-0.636694748,0.505776578,-1.258845854,0.208086014,0.999392676
slc9a3r1,1047.543498,0.330759558,0.249384173,1.326305332,0.184738581,0.999392676
LOC109626685,87.54303211,0.515365544,0.434171885,1.187008098,0.235224426,0.999392676
LOC109626735,7.491573299,-1.052819703,1.277684654,-0.824005908,0.409936201,0.999392676
LOC109626902,3066.662332,0.308693855,0.31993551,0.964862747,0.334613563,0.999392676
mettl9,453.5240647,0.384796848,0.455034687,0.845642891,0.397751991,0.999392676
snf8,146.0078771,-0.148987082,0.444307192,-0.335324489,0.737380322,0.999392676
LOC109627027,369.8638817,0.326225112,0.429469545,0.759600107,0.447493655,0.999392676
wdr45b,273.5533986,0.101029129,0.328530386,0.307518371,0.758448842,0.999392676
LOC109627077,523.8418724,0.040160032,0.285618669,0.140607168,0.888180285,0.999392676
dnah9,13.34065343,-1.173282274,2.204742828,-0.532162871,0.594613196,0.999392676
myocd,22.85034444,-1.041542926,0.763723195,-1.36377019,0.172639905,0.999392676
LOC109626687,688.6682542,-0.474097833,0.352733724,-1.344067214,0.178926653,0.999392676
LOC109626600,41.03904948,0.787769961,0.959637886,0.820903356,0.411701319,0.999392676
pts,1004.079064,-0.362317283,0.403049024,-0.898940978,0.3686841,0.999392676
LOC109626956,443.1934415,0.127161184,0.262627354,0.48418865,0.628251991,0.999392676
LOC109626689,260.4897007,-0.272843273,0.566629757,-0.481519493,0.630147329,0.999392676
LOC109626928,225.5051082,0.212956783,0.451444392,0.471723177,0.637124392,0.999392676
LOC109626930,14.26185936,-0.293421543,1.619600041,-0.181169138,0.856234818,0.999392676
LOC109626908,679.5481228,-0.018587775,0.330689848,-0.056209089,0.95517524,0.999392676
LOC109626972,568.0840475,0.295943729,0.359190812,0.823917871,0.409986225,0.999392676
daglb,415.8479801,0.247652418,0.300176369,0.825023031,0.409358516,0.999392676
mrpl58,15.410357,0.416524313,1.055255754,0.394714089,0.693053904,0.999392676
LOC109626690,105.2383527,-0.286307662,0.38430517,-0.745000806,0.456271232,0.999392676
LOC109626782,26.15667584,0.680284613,1.077322103,0.631458884,0.527740525,0.999392676
sap30bp,327.8397736,0.270278776,0.310651066,0.870039752,0.384278681,0.999392676
itgb4,407.9397311,-0.15506242,0.466866668,-0.332134271,0.739787873,0.999392676
unc13d,28.4390633,0.395972118,0.903762829,0.438137203,0.661286827,0.999392676
unk,238.4828784,-0.758520506,0.58151767,-1.30438084,0.192103765,0.999392676
wbp2,1248.268595,0.07765724,0.22433048,0.346173378,0.72921242,0.999392676
trim65,118.0303895,0.620634083,0.541674612,1.145769194,0.251890665,0.999392676
mrpl38,121.1326021,1.350961666,0.831398063,1.624927609,0.104177985,0.999392676
LOC109626776,43.36989981,-0.111709329,0.7217898,-0.154767121,0.877004913,0.999392676
fdxr,186.3534677,-0.216899296,0.348777433,-0.621884547,0.534017787,0.999392676
narf,175.5329295,0.700022025,0.526514826,1.329539055,0.18367019,0.999392676
cunh17orf62,64.75669153,0.033910795,0.611493892,0.055455656,0.955775457,0.999392676
hexdc,261.4678516,-0.022964757,0.340418307,-0.067460406,0.946215182,0.999392676
ogfod3,247.9989589,-0.170162116,0.375609823,-0.45302893,0.65052791,0.999392676
spata20,198.878959,-0.067324205,0.335028605,-0.200950617,0.840737188,0.999392676
LOC109626800,6.378023527,-0.801423351,1.784580196,-0.449082284,0.6533723,0.999392676
slc39a11,204.4383136,-0.051570864,0.41625143,-0.123893542,0.901399566,0.999392676
LOC109627065,107.6460835,-0.118668305,0.526073784,-0.225573499,0.821533154,0.999392676
cops3,119.6535616,-0.067096348,0.376530382,-0.178196371,0.85856876,0.999392676
nt5m,12.29119814,1.857851834,1.460692652,1.271897843,0.203409418,0.999392676
pemt,529.0612706,0.058283883,0.247532928,0.235459111,0.813852412,0.999392676
LOC109626620,6.11751749,-0.199850379,1.838190844,-0.108721235,0.913423599,0.999392676
lmf1,559.8677637,0.207574846,0.240085264,0.864588034,0.387264942,0.999392676
LOC109626784,126.0818576,-0.451610511,0.387244429,-1.166215643,0.24352727,0.999392676
LOC109626799,54.94020232,0.043789104,0.62468057,0.070098393,0.944115346,0.999392676
LOC109627152,146.6378229,-0.026918394,0.382222426,-0.070425993,0.943854603,0.999392676
LOC109627151,6.825707719,0.627878404,1.341382822,0.468082932,0.639725285,0.999392676
LOC109626980,90.94125867,0.802435614,0.615643156,1.303410273,0.192434731,0.999392676
LOC109626662,14.74223625,-0.117835613,0.935013223,-0.126025612,0.899711651,0.999392676
LOC109626877,8.199352185,0.612729267,1.721874705,0.355850089,0.721952835,0.999392676
LOC109626878,223.0230599,-0.094596275,0.312595314,-0.30261578,0.762182687,0.999392676
gdf10,96.22844962,0.768504958,1.498303989,0.51291658,0.608009675,0.999392676
LOC109626848,76.33969317,0.338277859,0.491263722,0.688587095,0.491083144,0.999392676
LOC109627170,155.5490858,0.233471919,0.44599563,0.523484768,0.600636948,0.999392676
LOC109626988,588.2567195,-0.312247343,0.228205908,-1.368270197,0.171227516,0.999392676
mms19,381.056201,-0.12471556,0.29000069,-0.430052634,0.667157355,0.999392676
LOC109626822,225.0106686,-0.014787507,0.480708241,-0.030761916,0.975459412,0.999392676
cunh16orf62,330.2455097,0.082624198,0.314487868,0.262726186,0.792761632,0.999392676
LOC109626819,641.8398222,-0.24394109,0.28731313,-0.84904261,0.395857583,0.999392676
LOC109626596,196.2635263,-0.090871908,0.574578357,-0.158154073,0.874335392,0.999392676
xrcc6,248.375181,-0.407714922,0.509514331,-0.800203051,0.423593163,0.999392676
LOC109626623,258.1306816,0.53893604,0.929745072,0.579660012,0.562143914,0.999392676
josd1,148.8209635,0.465099717,0.444137026,1.047198702,0.295007944,0.999392676
LOC109626906,780.5311097,0.692723972,0.497276599,1.393035532,0.163609046,0.999392676
cpped1,739.1556839,-0.076063787,0.316495711,-0.240331178,0.810073527,0.999392676
LOC109626750,103.1951145,-0.673803755,0.617896077,-1.090480714,0.275501444,0.999392676
LOC109626753,199.4966147,0.019928337,0.496260271,0.040157027,0.967967938,0.999392676
LOC109626749,737.2844818,-0.223895355,0.452695608,-0.494582566,0.620894811,0.999392676
LOC109626754,1664.887274,-0.313672267,0.259715778,-1.207752067,0.227142644,0.999392676
phf5a,79.13100615,-0.223420427,0.707850937,-0.315632029,0.752281824,0.999392676
aco2,1353.395879,-0.260780626,0.226738854,-1.150136471,0.250087667,0.999392676
LOC109626896,1920.208436,-0.456450231,0.407629655,-1.119766986,0.262813071,0.999392676
LOC109627106,1510.27988,0.136563201,0.373967517,0.365173964,0.714981552,0.999392676
LOC109627059,89.64224219,-0.24156147,0.563754111,-0.428487288,0.668296387,0.999392676
LOC109626907,423.3808819,-0.193942635,0.301945884,-0.642309252,0.520672408,0.999392676
LOC109627051,52.11335457,0.195846432,0.62880396,0.311458649,0.755451974,0.999392676
LOC109626700,59.61609616,-0.192071398,0.550676538,-0.348791686,0.727245706,0.999392676
LOC109626605,126.890906,-0.191599207,0.586290999,-0.326798821,0.743820052,0.999392676
tomm22,345.6004075,0.228515836,0.45760184,0.499377004,0.617513816,0.999392676
gspt1,2041.008202,-0.127065505,0.222887882,-0.570087093,0.568618629,0.999392676
rsl1d1,1039.639122,-0.076738628,0.400056785,-0.191819339,0.847883722,0.999392676
LOC109627021,557.5651776,0.234868814,0.257713289,0.911357017,0.362107293,0.999392676
ercc4,57.95404526,0.199744366,0.699601313,0.285511709,0.775252135,0.999392676
LOC109627073,306.8374331,-0.25833474,0.274832163,-0.939972736,0.347231546,0.999392676
ubald1,717.9411621,-0.061827857,0.253871402,-0.243540063,0.807587054,0.999392676
LOC109626607,37.10064579,-0.147612001,0.886413128,-0.166527318,0.867741987,0.999392676
LOC109626797,105.9353991,-0.420615567,0.559006377,-0.752434292,0.451789931,0.999392676
lcmt1,233.3738747,-0.014173361,0.328399854,-0.043158853,0.965574905,0.999392676
arhgap17,1380.621872,0.019222967,0.246521504,0.077976835,0.93784648,0.999392676
pgp,98.77402997,-0.602974197,0.68155487,-0.88470382,0.376316395,0.999392676
LOC109627011,21.37398538,0.062641467,0.914485018,0.068499172,0.945388279,0.999392676
mlst8,243.7078773,-0.2835448,0.314821652,-0.900652157,0.367773294,0.999392676
LOC109626643,1379.018683,-0.45101865,0.415926494,-1.084371052,0.278200314,0.999392676
neurl2,98.58000749,-0.285133891,0.913434855,-0.312155694,0.754922202,0.999392676
LOC109627096,62.85599732,0.720493928,1.593345036,0.452189521,0.651132457,0.999392676
LOC109626796,5.97976211,0.163398499,3.163504941,0.051651097,0.958806704,0.999392676
gid4,288.9658244,0.091706908,0.410299851,0.223511922,0.823137105,0.999392676
atpaf2,464.5170083,0.101417564,0.244246078,0.415226992,0.677975741,0.999392676
LOC109627001,1623.415827,0.136466846,0.286065483,0.477047579,0.633328242,0.999392676
LOC109627150,1363.69213,0.243833335,0.212137306,1.1494128,0.250385805,0.999392676
trrap,356.6951838,0.342582497,0.304582266,1.124761795,0.260689988,0.999392676
LOC109627014,81.22149321,-0.611281311,0.637517208,-0.958846763,0.337635948,0.999392676
bhlha15,648.5797614,-0.228358511,0.317663859,-0.718868403,0.472222007,0.999392676
LOC109627054,53.02306183,0.641807577,0.932572203,0.68821221,0.491319156,0.999392676
ccz1,181.4928187,-0.726745577,0.458541909,-1.584905463,0.112987815,0.999392676
dlgap5,10.96000165,-1.150679835,2.211043465,-0.520423887,0.602768165,0.999392676
pms2,133.6890112,0.022950689,0.466521257,0.049195378,0.960763595,0.999392676
ankrd61,20.55712331,-0.495779805,1.213251865,-0.408637167,0.682805951,0.999392676
eif2ak1,190.2724917,-0.043012738,0.420793072,-0.102218265,0.918583431,0.999392676
cyth3,31.87720706,0.591263136,0.769854238,0.768019589,0.442475547,0.999392676
rac1,723.4498076,0.416963133,0.368380749,1.131880898,0.257684511,0.999392676
crym,3961.13138,-0.090490822,0.251945566,-0.359168148,0.719469303,0.999392676
LOC109627172,2255.027686,0.023313507,0.260424689,0.08952111,0.928667777,0.999392676
LOC109627178,10.46454134,0.620144853,1.680483182,0.369027706,0.712107074,0.999392676
faap100,29.53733567,-2.126585115,1.29845948,-1.637775492,0.101468536,0.999392676
bahcc1,87.58714612,-0.458919379,0.469088733,-0.978321044,0.327915565,0.999392676
ndufaf8,15.67517099,-0.468071719,0.889946561,-0.52595486,0.59891957,0.999392676
slc38a10,1112.952936,-0.255572797,0.382802276,-0.667636566,0.504365611,0.999392676
amz2,100.0535342,0.359226334,0.402227157,0.893093188,0.37180727,0.999392676
tepsin,173.1116586,-0.228399525,0.382454816,-0.597193486,0.550378208,0.999392676
fam104a,147.2271169,0.305729055,0.37363102,0.818264648,0.413206088,0.999392676
LOC109626863,5488.403165,-0.100641974,0.288338854,-0.349040626,0.72705881,0.999392676
arsg,2679.107643,-0.03395899,0.255618343,-0.132850363,0.894311724,0.999392676
wipi1,2857.465281,-0.100247615,0.28692067,-0.349391401,0.726795488,0.999392676
fam20a,1446.671186,0.100005988,0.290530642,0.344218385,0.730682057,0.999392676
LOC109626779,16.58537975,-0.197290448,0.962178395,-0.205045602,0.837536497,0.999392676
LOC109626898,137.2362111,0.299710057,0.500331578,0.59902287,0.549157634,0.999392676
aarsd1,229.3974343,-0.51660072,0.449654435,-1.148883853,0.250603877,0.999392676
LOC109627174,214.1860744,0.165703669,0.364721584,0.454329209,0.649591896,0.999392676
itga3,30.1682706,0.14125933,0.625161123,0.225956677,0.821235116,0.999392676
LOC109626773,59.94535513,-0.080615312,0.678581266,-0.11879979,0.905433975,0.999392676
mpp2,22.27697627,0.052581118,0.921594607,0.057054498,0.954501783,0.999392676
LOC109627082,10.06405272,1.023506781,2.989182124,0.34240362,0.732047164,0.999392676
mki67,36.47657868,-1.197332931,1.528780776,-0.783194654,0.433512814,0.999392676
top2a,24.19655085,0.687847902,2.11081226,0.325868821,0.744523607,0.999392676
LOC109626803,19.87023676,0.746429529,0.801504419,0.931285607,0.351705845,0.999392676
med24,341.3720022,-0.605798944,0.415913517,-1.456550265,0.145240565,0.999392676
dcun1d3,226.4338207,0.264083319,0.364374739,0.724757483,0.468600823,0.999392676
kiaa0556,84.92117322,-0.419929788,0.548709334,-0.765304619,0.444090174,0.999392676
luc7l,523.9389937,0.547870428,0.371660907,1.474113682,0.140450985,0.999392676
LOC109626999,60.9741739,0.165452763,0.51069015,0.323978762,0.745954113,0.999392676
LOC109627166,277.6230376,-0.079081713,0.463966477,-0.170447041,0.86465858,0.999392676
LOC109626788,8.982179151,1.733250612,2.387612323,0.72593469,0.467878809,0.999392676
LOC109626656,10.56651653,1.77483287,1.555737663,1.140830432,0.253940494,0.999392676
LOC109626657,460.2177324,-0.17244054,0.298114343,-0.578437584,0.562968726,0.999392676
LOC109626893,85.26678042,-0.358780259,0.501079262,-0.716014981,0.473982098,0.999392676
LOC109626891,340.66391,0.423229262,0.284888925,1.485593943,0.137386558,0.999392676
tnfrsf12a,73.37645216,1.126987617,0.822596065,1.370037695,0.170675135,0.999392676
rnf40,341.7394156,-0.186385755,0.390805871,-0.476926703,0.633414317,0.999392676
phkg2,335.5837741,-0.536637713,0.363748712,-1.475297906,0.140132469,0.999392676
ccdc189,8.02908871,-0.284735642,1.767999773,-0.161049592,0.872054342,0.999392676
ube2i,834.9601717,0.38056302,0.292145486,1.302648981,0.192694627,0.999392676
