Gene,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean
LOC109629332,1.106936593,0.343684956,3.220788612,0.001278384,0.18476906,1014.98641
LOC109630335,1.359018239,0.423118838,3.211906724,0.001318572,0.18476906,1360.236716
LOC109634026,1.330300652,0.414667919,3.208110853,0.0013361,0.18476906,251.5234052
LOC109646299,5.930783156,1.84695993,3.211105482,0.001322254,0.18476906,139.514684
atf3,5.014660362,1.562874051,3.208614513,0.001333762,0.18476906,409.9232739
LOC109646510,1.77802258,0.555022086,3.203516804,0.001357601,0.185060434,610.3658778
LOC109630232,-1.057249244,0.330679761,-3.197199737,0.001387688,0.18649745,790.6363665
cidec,-1.557534847,0.488206192,-3.190321781,0.001421145,0.18834114,76.04981141
LOC109633328,1.828597354,0.577055546,3.168841139,0.00153048,0.197349221,164.2997085
dusp8,2.657523922,0.838111156,3.170849,0.001519941,0.197349221,165.8999732
LOC109635822,2.292179528,0.724955722,3.161820037,0.001567864,0.199078494,744.1371607
flcn,1.551635795,0.491251024,3.158539564,0.001585618,0.199078494,180.0457918
LOC109629651,-1.171897221,0.371974779,-3.150474948,0.001630052,0.201999475,181.2874084
LOC109624653,2.127174991,0.677393629,3.140234719,0.001688125,0.206513984,192.6321134
aptx,2.28441226,0.729287881,3.132387522,0.001733909,0.209429809,107.9969294
mgea5,-1.618919746,0.51960768,-3.115657851,0.001835351,0.218911477,144.6961069
LOC109639910,-1.187023864,0.383257744,-3.097194726,0.001953615,0.230140668,154.9391235
LOC109631494,1.762577667,0.571588029,3.08365042,0.002044777,0.235075461,256.7951547
ciart,1.642332906,0.532537098,3.083978395,0.002042524,0.235075461,286.8281723
LOC109625324,1.695607556,0.551580378,3.074089693,0.002111459,0.239851735,73.86721968
LOC109627701,-1.389413096,0.453936203,-3.060811383,0.002207381,0.243417007,859.3781841
LOC109639660,1.554514664,0.507090602,3.065556051,0.002172656,0.243417007,110.3102306
fosl1,2.794871209,0.913598919,3.059188394,0.002219375,0.243417007,75.37014413
LOC109646396,3.426382091,1.125025426,3.045604138,0.002322133,0.247077889,7823.388169
lurap1l,4.243721384,1.392266835,3.048066131,0.002303192,0.247077889,443.5610996
nufip2,2.551707919,0.838128436,3.044530897,0.002330435,0.247077889,98.01595543
LOC109623951,2.524164704,0.830545186,3.039166017,0.002372341,0.248190759,72.85437803
ddit4,3.544870663,1.167657901,3.035881194,0.002398338,0.248190759,2310.414316
elovl5,1.48869496,0.490784206,3.033298428,0.002418963,0.248190759,322.9447939
LOC109637486,1.770683305,0.587551875,3.01366293,0.002581144,0.262013578,375.6325818
ifrd1,1.985391466,0.660082884,3.007791164,0.002631539,0.264317323,1301.969302
ppp1r10,1.735562891,0.578319786,3.001043598,0.00269056,0.264827644,542.8890966
snx24,1.412607263,0.470733159,3.00086628,0.002692128,0.264827644,1423.642676
LOC109628072,2.414724268,0.809035822,2.984693881,0.002838622,0.268179559,88.06102155
LOC109630364,3.285228619,1.099176952,2.988807775,0.002800683,0.268179559,1086.858784
LOC109632221,1.66511655,0.557647752,2.985964786,0.002826852,0.268179559,163.6928541
bcl2l14,2.481265399,0.829975424,2.989564905,0.002793751,0.268179559,208.7682984
ctgf,2.166914508,0.731243115,2.963329791,0.003043303,0.284698029,119.8187753
LOC109624442,-1.203579505,0.406842079,-2.958345675,0.003092951,0.286533354,100.6103831
LOC109641491,2.081810319,0.704801081,2.953755854,0.003139323,0.288032847,124.8865344
LOC109629216,1.129755567,0.383494329,2.945951167,0.003219632,0.292587914,395.7271662
LOC109639985,2.060517021,0.706702192,2.915679396,0.00354915,0.311911972,142.7244192
LOC109643523,1.309979948,0.449282381,2.915716267,0.003548731,0.311911972,240.9695614
blm,-1.417686148,0.486355279,-2.914918802,0.003557811,0.311911972,90.149247
fam102a,1.646951127,0.565714317,2.911277083,0.003599547,0.311911972,91.52012115
fbxo31,0.929618652,0.319170516,2.912608167,0.00358424,0.311911972,274.8884438
p4ha1,2.263622018,0.778202843,2.908781479,0.003628404,0.311911972,420.6246214
LOC109630525,1.391942952,0.481222461,2.892514511,0.003821715,0.319884273,65.3384194
LOC109641878,2.067862426,0.713756364,2.897154448,0.003765643,0.319884273,877.1900829
LOC109644535,1.394079486,0.481889318,2.892945399,0.003816476,0.319884273,258.6849806
nfe2l1,1.478028235,0.511626514,2.888881233,0.003866151,0.320789649,400.0039543
LOC109632842,1.967973773,0.684148233,2.876531251,0.004020724,0.326872835,136.291788
LOC109637834,1.43004652,0.497433964,2.874846959,0.004042234,0.326872835,809.6828412
eif2ak3,1.989506806,0.690789916,2.880046102,0.00397617,0.326872835,681.3471467
LOC109637872,1.749799391,0.612376848,2.857389852,0.004271409,0.342502356,160.9246036
LOC109641771,1.922733954,0.675034859,2.848347648,0.004394689,0.349451014,88.2444082
LOC109629357,1.565964832,0.552929966,2.832121474,0.004624028,0.364648542,627.2108594
LOC109632184,1.759761667,0.62222037,2.82819681,0.004681102,0.366123556,98.76024554
LOC109625638,-1.216120287,0.431009444,-2.821562969,0.004779025,0.370743583,327.6301501
LOC109632540,6.323366497,2.245860625,2.815564967,0.004869155,0.371691823,15653.83104
srsf5,-1.019870656,0.361939476,-2.817793366,0.004835492,0.371691823,456.8092745
LOC109624408,1.565632727,0.560132318,2.795112292,0.005188169,0.383763638,75.20348371
atp10a,1.298360216,0.463772652,2.799561833,0.005117201,0.383763638,66.43365934
cunh21orf59,2.475626456,0.885002124,2.797311316,0.005152986,0.383763638,93.4958508
skil,1.459042863,0.521885027,2.795717038,0.005178472,0.383763638,100.5539983
LOC109641808,1.424067986,0.510428062,2.789948464,0.005271643,0.386938611,2501.824473
nr2c2,1.145378947,0.41216721,2.778918161,0.005454026,0.397269618,69.10207117
p4ha2,3.562534877,1.284271644,2.773973009,0.005537627,0.400303327,373.3611705
LOC109639757,1.123114751,0.406722438,2.761378879,0.005755786,0.412945198,6088.054028
lysmd3,1.840589096,0.667555018,2.75720959,0.005829697,0.415126644,232.826945
foxn2,0.936287057,0.34011565,2.75284909,0.005907912,0.417579991,440.9781342
LOC109627060,-0.827247842,0.302047164,-2.738803545,0.006166321,0.432639949,500.6248762
LOC109646630,-1.815582738,0.664449955,-2.732459718,0.006286336,0.437840994,106.8947649
g0s2,0.870657573,0.319048053,2.728923011,0.006354154,0.439357496,1515.511532
LOC109630316,0.683149736,0.250724928,2.724698104,0.006436031,0.441817299,2663.328605
hnf1b,1.606504273,0.591142875,2.717624351,0.006575244,0.44814986,564.596523
LOC109624670,5.593557802,2.067884528,2.704966224,0.006831133,0.449535695,3560.790835
LOC109627896,4.141960765,1.531159901,2.705113139,0.006828113,0.449535695,98.12402914
LOC109637812,-0.673504519,0.248561478,-2.709609409,0.006736248,0.449535695,1534.760533
LOC109641043,1.357948739,0.501606676,2.707198299,0.006785371,0.449535695,519.0658076
LOC109647951,-1.130513509,0.417673508,-2.706691922,0.006795729,0.449535695,244.6271805
LOC109624951,1.654520052,0.612809508,2.699892918,0.00693618,0.45050705,135.3123498
LOC109643389,-1.241765086,0.459965062,-2.699694362,0.00694032,0.45050705,765.1540801
LOC109623724,0.994571407,0.369319739,2.692981997,0.007081609,0.454210474,86.45351862
LOC109630506,-0.80324386,0.298406171,-2.691780322,0.007107174,0.454210474,435.619166
LOC109638733,1.734783829,0.644844778,2.69023475,0.007140177,0.454210474,69.2175118
slc38a4,1.263342471,0.470801062,2.683389171,0.007288013,0.460083632,3721.561591
slc3a2,0.979076105,0.365120339,2.681516203,0.007328937,0.460083632,344.5180219
gls2,-0.977867809,0.365808197,-2.673170851,0.007513797,0.468605573,1836.134614
LOC109641640,1.024904572,0.384664678,2.664410409,0.007712341,0.477864641,82.59454588
LOC109636427,1.642712044,0.618197234,2.65726204,0.007877818,0.484968663,315.0015114
LOC109628926,-1.074249102,0.40562823,-2.648358825,0.008088362,0.485403483,113.4457496
LOC109638955,1.198495163,0.452523488,2.648470618,0.008085688,0.485403483,64.41457887
aldoc,1.61255341,0.608724252,2.64907042,0.008071351,0.485403483,371.8707288
pmm1,1.325804713,0.500253589,2.650265271,0.008042859,0.485403483,664.9992516
LOC109645490,-0.961358494,0.363616751,-2.643878458,0.008196208,0.488801362,238.9587895
LOC109635290,1.875419671,0.71058964,2.639244318,0.008309107,0.489868587,940.2110693
cish,-0.991462901,0.375706198,-2.63893145,0.00831678,0.489868587,294.3143127
LOC109628090,-1.096967469,0.416994118,-2.630654537,0.008522061,0.498880432,138.5550207
LOC109642499,-0.993606053,0.37822675,-2.62701158,0.00861384,0.501178437,85.31984038
LOC109640140,1.09153502,0.41606149,2.623494472,0.008703286,0.503313652,1149.503279
LOC109644006,1.124508316,0.42897646,2.621375347,0.008757578,0.503402478,271.8032169
LOC109632914,1.281665127,0.489384125,2.618934824,0.00882048,0.503982146,172.7429309
LOC109640815,0.962242489,0.368474743,2.611420473,0.009016696,0.508406828,17072.27822
nfyb,-0.976330212,0.374092041,-2.6098663,0.009057762,0.508406828,138.5097201
tmcc3,-0.989491237,0.378872371,-2.611674305,0.009010004,0.508406828,77.67000962
LOC109636972,2.260974393,0.867233031,2.607112866,0.009130926,0.509516336,83.42573433
LOC109625394,-1.719468908,0.661239715,-2.600371498,0.009312289,0.513006903,82.53143668
LOC109631832,1.929140065,0.742443778,2.598365186,0.009366882,0.513006903,178.3219985
pgap3,1.278678555,0.492081268,2.598510935,0.009362906,0.513006903,74.50756527
stard7,1.065022617,0.410122296,2.596841546,0.009408532,0.513006903,285.879545
LOC109636119,1.643438737,0.635243824,2.587099118,0.009678775,0.524743564,275.869551
specc1l,1.021269074,0.395894721,2.579648122,0.009890103,0.533171563,158.1443529
mfsd13a,1.808016932,0.704993426,2.564586938,0.01032987,0.553750657,442.4734825
fam214b,-0.896308442,0.349981908,-2.561013649,0.010436726,0.556185336,128.1644714
pnpla2,1.483900916,0.579935019,2.558736528,0.010505333,0.556185336,1431.219814
srm,1.29521445,0.506486016,2.557256094,0.010550152,0.556185336,172.476855
LOC109634903,1.729377254,0.676788544,2.555269691,0.010610555,0.556296252,416.8819013
pak4,1.687584122,0.660998482,2.553083205,0.010677399,0.556741734,325.0037851
LOC109624809,-1.258131233,0.495092153,-2.541206166,0.011047076,0.57288694,90.61143819
rhof,-1.03472494,0.407801916,-2.537322412,0.011170403,0.576151253,104.8287482
LOC109624528,1.78585943,0.70695671,2.526122752,0.011532918,0.58317177,544.800772
LOC109642302,1.299764184,0.51394157,2.529011584,0.011438425,0.58317177,78.63051709
LOC109642711,1.434123654,0.567873992,2.525425841,0.011555817,0.58317177,813.3510027
LOC109643098,1.2178256,0.482552136,2.523718183,0.011612098,0.58317177,98.49452602
mthfd2,1.735508511,0.685826,2.530537647,0.011388786,0.58317177,191.0510796
LOC109635483,1.066812901,0.423441925,2.519384214,0.01175603,0.58730909,245.7191123
LOC109628189,-1.355742488,0.541519956,-2.503587305,0.012294134,0.588544895,452.874352
LOC109637445,-0.886283317,0.353175222,-2.509471962,0.012091181,0.588544895,158.768461
LOC109644114,1.382303732,0.552393949,2.502387532,0.012335881,0.588544895,2087.714105
LOC109646229,1.909182899,0.762281357,2.504564598,0.012260221,0.588544895,67.39844753
arrdc3,-1.162614,0.464493704,-2.502970418,0.012315584,0.588544895,3224.120055
grina,1.95482888,0.780024402,2.506112469,0.012206679,0.588544895,284.2496438
isca2,1.11224485,0.443803583,2.50616465,0.012204877,0.588544895,164.9999651
pptc7,2.77269824,1.103966342,2.511578599,0.012019252,0.588544895,925.1845434
smad7,1.128872918,0.449144064,2.51338715,0.011957803,0.588544895,191.4979859
LOC109629221,1.609544282,0.644379365,2.497820957,0.012495929,0.591483292,87.66548841
smpd1,0.787161399,0.315230515,2.497097718,0.012521445,0.591483292,462.8095237
LOC109625845,3.334740847,1.339552925,2.489443146,0.012794338,0.594738233,239.984724
mpv17l,1.923034823,0.772866254,2.488185779,0.012839664,0.594738233,215.682441
mtf2,-1.099330184,0.441723059,-2.488731712,0.012819967,0.594738233,92.57860948
rbm15b,1.064760675,0.427306619,2.491795414,0.012709922,0.594738233,121.2018808
LOC109638016,1.555367069,0.625611077,2.486156538,0.012913115,0.595250937,118.5443388
