Gene,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean
LOC109638582,-0.512217552,0.450475914,-1.137058689,0.255513752,0.999978072,577.8242105
LOC109638585,0.267337239,0.298495458,0.89561577,0.37045801,0.999978072,3831.72433
LOC109638588,-0.359990799,0.331690423,-1.085321657,0.277779217,0.999978072,550.3580651
LOC109638590,0.280342109,0.325787881,0.860505027,0.389510713,0.999978072,211.9233723
LOC109638594,0.408567433,0.528792949,0.772641606,0.439734514,0.999978072,81.34856248
LOC109638599,-0.230443131,0.422128177,-0.545907958,0.585129208,0.999978072,136.3267454
LOC109638600,0.411129519,0.394259561,1.042788965,0.297046043,0.999978072,423.3429789
LOC109638609,-0.113198671,0.458601374,-0.246834566,0.805036258,0.999978072,234.1736308
LOC109638616,0.185847864,0.327908625,0.566767233,0.570872336,0.999978072,966.8103143
LOC109638618,-0.095598869,0.456164222,-0.209571169,0.834002384,0.999978072,10395.4429
LOC109638623,-0.178583922,0.305801257,-0.583986878,0.559229141,0.999978072,290.7013208
LOC109638629,0.106400957,0.439214293,0.242252947,0.808584171,0.999978072,83.36702128
LOC109638635,0.143274586,0.491936361,0.291246181,0.770863045,0.999978072,139.8733227
LOC109638638,1.037898564,0.742150666,1.398501156,0.161962626,0.999978072,68.50634718
LOC109638646,0.053194916,0.266669801,0.199478591,0.841888389,0.999978072,1930.489465
LOC109638648,0.463296991,0.37324888,1.241254872,0.21451161,0.999978072,289.9819482
LOC109638649,0.008438254,0.346819352,0.024330401,0.980589064,0.999978072,548.0024551
LOC109638654,-0.364769422,0.251626463,-1.449646502,0.147157121,0.999978072,918.8973613
LOC109638661,0.63040688,0.571691415,1.102704822,0.270155372,0.999978072,128.8296806
LOC109638666,-0.368955781,0.388584912,-0.949485607,0.342373689,0.999978072,271.2079141
LOC109638667,-0.434603238,0.453280249,-0.958795885,0.337661583,0.999978072,70.70855395
LOC109638675,-0.151716644,0.474659516,-0.319632576,0.749246877,0.999978072,66.61203846
LOC109638685,-0.216009628,0.355818732,-0.607077729,0.543799329,0.999978072,492.8153287
LOC109638689,-0.338098136,0.382101304,-0.884839001,0.376243471,0.999978072,310.7766276
LOC109638690,-0.201476676,0.484163536,-0.416133518,0.677312304,0.999978072,80.39756085
LOC109638708,-0.366506673,0.386406609,-0.948500013,0.342874966,0.999978072,196.5339427
LOC109638710,0.137448345,0.269562955,0.509893302,0.610126214,0.999978072,789.1612105
LOC109638720,-0.020158204,0.318845483,-0.063222487,0.949589339,0.999978072,250.9059579
LOC109638721,0.045815596,0.436134902,0.105049139,0.916336817,0.999978072,275.1304365
LOC109638735,-0.04456773,0.384327531,-0.115962886,0.907681956,0.999978072,109.8240024
LOC109638743,-0.069190827,0.428666292,-0.161409536,0.871770857,0.999978072,161.457073
LOC109638751,0.405570059,0.462394804,0.877107735,0.380428124,0.999978072,79.08029803
LOC109638758,0.110366731,0.335138873,0.329316411,0.741916541,0.999978072,501.621928
LOC109638763,0.221446058,0.278074345,0.796355586,0.425825385,0.999978072,688.103626
LOC109638770,-0.259849901,0.396100641,-0.656019896,0.511811323,0.999978072,86.38205562
LOC109638782,-0.276372985,0.383907171,-0.719895345,0.471589434,0.999978072,274.3957799
LOC109638783,0.684488154,0.597507118,1.145573221,0.251971783,0.999978072,76.8025458
LOC109638786,0.839331554,0.586697819,1.430602818,0.152544079,0.999978072,174.6056394
LOC109638790,-0.107508918,0.421884968,-0.254829932,0.798854456,0.999978072,80.6764444
LOC109638793,0.911708159,0.611396241,1.491190326,0.135911533,0.999978072,117.775963
LOC109638798,0.005419198,0.421952406,0.01284315,0.989752931,0.999978072,110.6759048
LOC109638802,0.063896454,0.34961503,0.182762321,0.854984514,0.999978072,195.0842373
LOC109638809,-0.303692676,0.44416666,-0.683735865,0.494141972,0.999978072,167.282554
LOC109638811,0.829694635,0.586886016,1.413723639,0.157443062,0.999978072,345.4759154
LOC109638817,0.363674184,0.477345114,0.761868453,0.44613852,0.999978072,2880.608313
LOC109638820,0.317434505,0.327543984,0.969135506,0.332477584,0.999978072,190.7047252
LOC109638822,-0.590779578,0.455333124,-1.297466726,0.194470647,0.999978072,81.4430728
LOC109638824,0.392074709,0.308218904,1.272065741,0.203349762,0.999978072,187.9977062
LOC109638825,0.042051013,0.353684123,0.118894262,0.905359128,0.999978072,601.3667438
LOC109638826,0.424026472,0.336999657,1.258240069,0.208304948,0.999978072,335.6544862
LOC109638828,0.499311914,0.448014843,1.114498596,0.265065346,0.999978072,396.1771991
LOC109638830,0.013022638,0.326430626,0.039894045,0.968177599,0.999978072,1623.561081
LOC109638832,0.028365561,0.33886904,0.083706557,0.933289744,0.999978072,224.1178897
LOC109638836,0.009089846,0.276523878,0.032871832,0.973776796,0.999978072,15373.678
LOC109638838,-0.461484764,0.64287186,-0.717848754,0.472850548,0.999978072,105.9876247
LOC109638842,0.715517319,0.45128278,1.585518772,0.112848515,0.999978072,361.1779809
LOC109638844,0.112173204,0.390814236,0.287024356,0.774093671,0.999978072,534.0759993
LOC109638847,0.298012823,0.256432038,1.162151286,0.245174018,0.999978072,643.6193685
LOC109638848,-0.077400187,0.427502921,-0.181051832,0.856326892,0.999978072,284.527778
LOC109638853,0.597482384,0.712473898,0.838602488,0.401692414,0.999978072,91.54916848
LOC109638856,0.784542771,0.48998395,1.601160142,0.109341454,0.999978072,560.928133
LOC109638858,0.425227017,0.512418703,0.82984289,0.406627618,0.999978072,75.2734361
LOC109638861,0.254484543,0.383744616,0.663161208,0.507227313,0.999978072,176.9314295
LOC109638865,0.069030386,0.258537182,0.267003708,0.789466307,0.999978072,178648.9521
LOC109638892,-0.009634838,0.410548375,-0.023468215,0.981276792,0.999978072,114.8678587
LOC109638907,-0.070191142,0.305273727,-0.229928539,0.8181473,0.999978072,206.0887733
LOC109638917,0.173618672,0.400694909,0.433293931,0.664801247,0.999978072,64.9961742
LOC109638938,0.824018596,1.323949419,0.622394319,0.533682615,0.999978072,13235.32682
LOC109638947,2.087593359,1.303893334,1.601046117,0.109366705,0.999978072,562.2443378
LOC109638958,0.2016981,0.422996153,0.476831995,0.63348176,0.999978072,543.1661892
LOC109638959,-0.000945632,0.281316241,-0.003361454,0.997317953,0.999978072,416.0576578
LOC109638961,0.175245009,0.319784003,0.548010557,0.583684654,0.999978072,172.7579694
LOC109638964,-0.664222064,0.497793654,-1.334332125,0.182095034,0.999978072,93.87561431
LOC109638972,0.338272148,0.313049207,1.080571807,0.279887629,0.999978072,316.8520313
LOC109638973,-0.17495137,0.31914938,-0.548180196,0.583568179,0.999978072,454.8118904
LOC109638974,0.499323773,0.398083514,1.254319146,0.209726028,0.999978072,86.07242676
LOC109638977,-0.093722276,0.435560632,-0.215176187,0.829629956,0.999978072,102.3135305
LOC109638979,0.028128683,0.286972997,0.098018569,0.921917548,0.999978072,557.8248678
LOC109638980,0.115167105,0.499529402,0.230551205,0.817663479,0.999978072,211.0988174
LOC109638983,0.019927935,0.395103079,0.050437306,0.959773908,0.999978072,1607.000735
LOC109638986,0.314940956,0.372224137,0.846105676,0.397493794,0.999978072,196.9703399
LOC109638987,-0.246285349,0.461694126,-0.533438341,0.593730182,0.999978072,160.5502091
LOC109639001,0.266614202,0.47800574,0.557763599,0.577005822,0.999978072,105.4900471
LOC109639006,0.628161813,0.536487085,1.170879656,0.241647154,0.999978072,68.107977
LOC109639018,-0.243989522,0.314379423,-0.776098891,0.437690598,0.999978072,5698.761403
LOC109639020,-0.138824016,0.337682755,-0.411107805,0.680993487,0.999978072,1434.247635
LOC109639031,0.033764676,0.409004821,0.082553247,0.934206778,0.999978072,155.0510421
LOC109639048,0.673710015,0.612784041,1.09942487,0.271582788,0.999978072,97.63506802
LOC109639063,0.580652289,0.36486898,1.591399437,0.111519711,0.999978072,187.278736
LOC109639077,0.099398846,0.368624166,0.269648208,0.787430909,0.999978072,91.97989958
LOC109639080,-0.160669844,0.470780361,-0.341284083,0.732889729,0.999978072,71.7029354
LOC109639081,-0.139292915,0.341349457,-0.408065435,0.683225636,0.999978072,154.5389172
LOC109639087,0.121862771,0.430041168,0.283374663,0.776889648,0.999978072,49805.19733
LOC109639090,-0.181415477,0.362168481,-0.500914591,0.616431233,0.999978072,12778.00557
LOC109639092,0.015587366,0.341435305,0.045652473,0.963587245,0.999978072,150.6994468
LOC109639100,0.156448553,0.314986878,0.496682765,0.619412778,0.999978072,257.9218841
LOC109639107,-0.314931651,0.639398082,-0.492543941,0.622334867,0.999978072,343.7246419
LOC109639108,0.374607887,0.634519042,0.590380843,0.554935351,0.999978072,95.24181913
LOC109639116,-0.272906522,0.288238423,-0.946808267,0.343736489,0.999978072,354.7344826
LOC109639126,-0.174281278,0.337429603,-0.516496703,0.605507541,0.999978072,202.6606187
LOC109639129,0.302721754,0.348857892,0.867750913,0.385530708,0.999978072,377.317717
LOC109639140,0.00913033,0.354578159,0.025749839,0.979456871,0.999978072,127.9485243
LOC109639155,-0.408713715,0.351200234,-1.163762648,0.244520213,0.999978072,866.3728455
LOC109639159,-0.750172192,0.467359732,-1.605128001,0.108465638,0.999978072,72.85414659
LOC109639163,0.335604297,0.374371435,0.896447393,0.370013865,0.999978072,163.7440679
LOC109639170,0.748023176,0.502506517,1.488584031,0.136596939,0.999978072,89.95375072
LOC109639172,-0.287308015,0.282863702,-1.015711855,0.309766621,0.999978072,2874.209575
LOC109639174,0.214943474,0.378607918,0.567720494,0.570224773,0.999978072,14190.11238
LOC109639177,0.057924335,0.336050808,0.172367789,0.863148394,0.999978072,177.9606497
LOC109639179,0.110565019,0.406246519,0.272162379,0.785497167,0.999978072,472.4137136
LOC109639181,-0.416337136,0.404785416,-1.028537886,0.303696879,0.999978072,81.83164457
LOC109639189,0.443756217,0.466619842,0.951001602,0.341603563,0.999978072,202.1454507
LOC109639190,0.323725716,0.469505324,0.689503822,0.490506269,0.999978072,215.6202511
LOC109639199,-0.122267481,0.411751076,-0.296945139,0.766508393,0.999978072,6381.255203
LOC109639202,0.048197652,0.459411346,0.104911758,0.916445829,0.999978072,99.59362674
LOC109639218,-0.068476505,0.408795441,-0.167507996,0.866970356,0.999978072,126.9931049
LOC109639224,-0.177436079,0.385516291,-0.460255722,0.645332679,0.999978072,70.12720547
LOC109639225,-0.185555293,0.394918282,-0.469857441,0.638456872,0.999978072,213.6051552
LOC109639226,-0.163277794,0.334399138,-0.488272175,0.625357068,0.999978072,1516.635828
LOC109639233,0.602903575,0.468057786,1.288096454,0.19771239,0.999978072,312.087132
LOC109639237,-0.149081436,0.554919999,-0.268653925,0.788196011,0.999978072,88.7700891
LOC109639250,0.652900835,0.48525461,1.345480954,0.178469968,0.999978072,102.0829061
LOC109639264,-0.059854497,0.271372611,-0.220562041,0.82543346,0.999978072,1247.601265
LOC109639267,0.063006212,0.306593834,0.205503845,0.837178494,0.999978072,288.3783332
LOC109639275,-0.368029562,0.336898216,-1.092405791,0.274654779,0.999978072,329.3260348
LOC109639276,0.091125224,0.453404583,0.200979935,0.840714263,0.999978072,297.3832808
LOC109639279,-0.414871797,0.752480123,-0.551339211,0.581401164,0.999978072,143.4369267
LOC109639280,-0.048530416,0.529389835,-0.091672361,0.926958358,0.999978072,84.50839877
LOC109639285,0.40770185,0.292171328,1.395420461,0.162889085,0.999978072,1259.80081
LOC109639295,-0.398321236,0.511394264,-0.778892655,0.436042951,0.999978072,92.34999891
LOC109639296,-0.131220435,0.381716391,-0.343764213,0.731023615,0.999978072,182.4018282
LOC109639342,-0.647736519,0.650081405,-0.996392935,0.319059265,0.999978072,148.5055876
LOC109639345,0.630577774,0.450296129,1.400362414,0.161404819,0.999978072,680.8284887
LOC109639346,0.185246892,0.307702087,0.602033264,0.547151996,0.999978072,575.1908254
LOC109639354,-0.461450406,0.551688103,-0.836433492,0.402911078,0.999978072,137.2918896
LOC109639362,0.012178186,0.40782597,0.029861232,0.976177724,0.999978072,23590.38726
LOC109639365,-0.689241941,0.501554494,-1.374211474,0.16937604,0.999978072,236.8247957
LOC109639367,-0.147103674,0.328299362,-0.448077856,0.654097009,0.999978072,717.8245057
LOC109639379,-0.341554091,0.535100122,-0.638299408,0.523278797,0.999978072,96.66348363
LOC109639393,0.051894905,0.34514713,0.150355894,0.880483837,0.999978072,546.4114685
LOC109639406,0.260523002,0.395676478,0.658424283,0.510265536,0.999978072,277.7842953
LOC109639418,0.427669143,0.71083746,0.601641257,0.54741296,0.999978072,78.03659928
LOC109639425,0.180400265,0.349041706,0.51684444,0.605264755,0.999978072,371.4332685
LOC109639431,0.334383382,0.361598249,0.92473728,0.355102582,0.999978072,197.7014675
LOC109639432,-0.376504087,0.378465597,-0.994817202,0.319825178,0.999978072,205.2640779
LOC109639437,-0.119119165,0.354706814,-0.335824291,0.737003371,0.999978072,92.48719098
LOC109639439,-0.238645182,0.550901164,-0.433190556,0.664876339,0.999978072,95.32146354
LOC109639441,0.363782118,0.42609869,0.853750848,0.393243054,0.999978072,72.49496481
LOC109639442,-0.013882998,0.344748999,-0.040269873,0.967877972,0.999978072,4029.800023
LOC109639445,-0.306848257,0.462760306,-0.663082491,0.507277723,0.999978072,364.8337153
LOC109639459,0.507013104,0.384326158,1.319226116,0.18709353,0.999978072,152.2349666
LOC109639467,-0.765258859,0.611238489,-1.251980811,0.210576856,0.999978072,74.04316194
LOC109639476,-0.519329078,0.482446583,-1.076448869,0.281726556,0.999978072,90.49645423
LOC109639482,0.575598097,0.757093673,0.760273289,0.447091245,0.999978072,173.6406218
LOC109639490,0.270261621,0.550318671,0.491100221,0.623355565,0.999978072,140.3015552
LOC109639491,0.245878125,0.334742299,0.734529596,0.462626029,0.999978072,130.902736
LOC109639496,0.220889527,0.516269586,0.427856943,0.668755277,0.999978072,222.3453034
LOC109639504,-0.186609259,0.296304168,-0.629789516,0.528832306,0.999978072,453.0168864
LOC109639512,-0.093227437,0.591251076,-0.157678254,0.874710337,0.999978072,148.1745888
LOC109639518,-0.531262859,0.337920229,-1.572154647,0.115914691,0.999978072,470.9130568
LOC109639521,-0.057396549,0.431620514,-0.132979195,0.894209834,0.999978072,115.0483314
LOC109639526,0.077738031,0.4804435,0.16180473,0.871459628,0.999978072,539.8317912
LOC109639528,-0.199088365,0.412874387,-0.482200812,0.6296633,0.999978072,336.266898
LOC109639532,0.001099012,0.33450726,0.003285464,0.997378583,0.999978072,366.5072291
LOC109639535,-0.10194468,0.508096999,-0.200640193,0.840979928,0.999978072,193.1249854
LOC109639549,0.28794241,0.383931811,0.749983204,0.45326482,0.999978072,102315.8492
LOC109639556,0.00762155,0.39271444,0.019407359,0.98451614,0.999978072,108.335905
LOC109639559,-0.18399332,0.37059196,-0.496484921,0.619552324,0.999978072,222.2362466
LOC109639563,0.605523645,0.375335811,1.61328503,0.106682597,0.999978072,114.6720874
LOC109639567,0.548062483,0.583544402,0.939195853,0.347630198,0.999978072,70.62551821
LOC109639569,0.21334659,1.533314485,0.139140791,0.889338895,0.999978072,4266.675082
LOC109639574,-0.315541885,0.490016956,-0.643940747,0.519613858,0.999978072,65.48517201
LOC109639585,-0.102625969,0.302998419,-0.338701336,0.734834734,0.999978072,195.6952699
LOC109639586,0.070276124,0.4775175,0.147169735,0.882998048,0.999978072,68.6973817
LOC109639592,-0.458446009,0.392636757,-1.167608484,0.242964726,0.999978072,242.0157726
LOC109639593,0.154014345,0.311499853,0.494428307,0.621003727,0.999978072,541.7555241
LOC109639598,-0.126187809,0.492942638,-0.255988831,0.797959462,0.999978072,417.313204
LOC109639599,0.342350272,0.582991541,0.587230256,0.557049075,0.999978072,72.41999632
LOC109639602,-0.162050388,0.456604605,-0.354903097,0.722662188,0.999978072,96.807606
LOC109639612,0.190862686,0.515176471,0.370480209,0.71102472,0.999978072,177.282182
LOC109639623,0.257285118,0.357482193,0.719714502,0.471700796,0.999978072,525.6552895
LOC109639637,-0.017569883,0.383475526,-0.045817481,0.963455725,0.999978072,111.6923729
LOC109639638,0.040466767,0.763431414,0.053006421,0.957726791,0.999978072,117.9634959
LOC109639642,0.042834441,0.371694516,0.115240983,0.908254115,0.999978072,104.3324006
LOC109639647,-0.344569831,0.323239506,-1.065989226,0.286428512,0.999978072,173.9707535
LOC109639650,0.309004305,0.409154914,0.755225697,0.450113573,0.999978072,264.4021084
LOC109639684,-0.118326802,0.462631333,-0.255769105,0.798129131,0.999978072,166.8207112
LOC109639700,-0.504206396,0.483948808,-1.041858948,0.29747708,0.999978072,105.4086227
LOC109639706,0.088223466,0.321022834,0.274819909,0.783454602,0.999978072,254.4467491
LOC109639732,0.081796648,0.357120418,0.229045006,0.818833936,0.999978072,113.4974766
LOC109639733,-0.252898104,0.440975471,-0.573496986,0.566308239,0.999978072,65.38762984
LOC109639739,-0.30501202,0.312180794,-0.977036467,0.328551099,0.999978072,361.3829083
LOC109639750,0.193841813,0.518275247,0.374013258,0.708394453,0.999978072,131.3406043
LOC109639751,-0.087550044,0.309595996,-0.282788038,0.777339325,0.999978072,158.6157501
LOC109639753,-0.214529242,0.25642601,-0.836612644,0.402810336,0.999978072,721.4762126
LOC109639760,-0.437675268,0.54230949,-0.807058101,0.41963301,0.999978072,109.7311998
LOC109639762,-0.166385113,0.51178805,-0.325105506,0.745101222,0.999978072,75.98739957
LOC109639771,0.524277422,0.337848313,1.551813054,0.120706962,0.999978072,272.797173
LOC109639785,0.745281021,0.516168303,1.443872119,0.148774951,0.999978072,577.6308684
LOC109639787,0.170435887,0.290108693,0.587489762,0.556874824,0.999978072,426.6005069
LOC109639791,0.012807663,0.453434415,0.0282459,0.977466029,0.999978072,79.90214736
LOC109639792,-0.10393659,0.32100805,-0.323781881,0.746103175,0.999978072,334.7393115
LOC109639796,-0.148925033,0.341973172,-0.435487475,0.663208628,0.999978072,428.7391968
LOC109639800,-0.08678464,0.357426664,-0.242804046,0.808157201,0.999978072,170.2129744
LOC109639807,0.165048295,0.434004845,0.380291366,0.703729144,0.999978072,371.6391842
LOC109639816,0.817410038,0.686875337,1.190041329,0.234030149,0.999978072,70.66870554
LOC109639829,0.206188036,0.311212057,0.662532287,0.50763015,0.999978072,709.3540493
LOC109639834,0.107300049,0.336364995,0.318998859,0.749727378,0.999978072,7398.632218
LOC109639835,0.378622669,0.446056081,0.848823019,0.395979779,0.999978072,7207.238688
LOC109639840,0.417798841,0.448319775,0.931921509,0.351377091,0.999978072,185.3864142
LOC109639841,-0.384600296,0.332780003,-1.155719372,0.247795962,0.999978072,133.8729521
LOC109639843,0.052761624,0.32215791,0.16377566,0.869907753,0.999978072,211.0751728
LOC109639850,-0.258988152,0.398295537,-0.65024116,0.515536458,0.999978072,66.62476107
LOC109639853,0.104314802,0.373959047,0.278947127,0.780285401,0.999978072,13455.67789
LOC109639860,0.194552417,0.278261689,0.69917069,0.484445365,0.999978072,1084.753287
LOC109639878,-0.562955149,0.399958024,-1.407535578,0.159268635,0.999978072,179.4403087
LOC109639891,-0.15902905,0.381478436,-0.416875596,0.676769405,0.999978072,137.6543822
LOC109639892,0.112581437,0.41055498,0.274217687,0.783917337,0.999978072,1242.482555
LOC109639899,-0.012220935,0.418179654,-0.029224126,0.976685839,0.999978072,70.70366961
LOC109639911,-0.164171119,0.453273415,-0.362190047,0.717210017,0.999978072,82.82427311
LOC109639913,0.281585106,0.477028903,0.590289403,0.554996642,0.999978072,108.4439894
LOC109639914,-0.185897321,0.422439323,-0.440056859,0.659895927,0.999978072,180.8459633
LOC109639919,-0.091585185,0.591310188,-0.154885181,0.876911837,0.999978072,87.12320685
LOC109639920,0.157347967,0.421344187,0.373442834,0.708818885,0.999978072,121.3083232
LOC109639930,-0.640497216,0.444176938,-1.441986653,0.149306139,0.999978072,337.2037441
LOC109639932,0.162488489,0.49539381,0.327998626,0.742912701,0.999978072,102.0589217
LOC109639938,-0.53191019,0.328856826,-1.61745218,0.10578071,0.999978072,301.8426267
LOC109639948,0.226453452,0.425555321,0.532136341,0.594631569,0.999978072,150.3926932
LOC109639950,0.103793111,0.40354938,0.257200521,0.797023982,0.999978072,1165.338886
LOC109639955,0.146658804,0.298580201,0.491187305,0.623293977,0.999978072,2408.833033
LOC109639960,0.559880862,0.353131098,1.585475948,0.112858237,0.999978072,2104.125706
LOC109639961,0.544019185,0.345261893,1.575671096,0.115101622,0.999978072,300.5459065
LOC109639962,0.425132998,0.358803606,1.184862669,0.236071749,0.999978072,123.4890266
LOC109640001,-0.188431849,0.260769721,-0.722598653,0.469926496,0.999978072,3100.908645
LOC109640015,-0.292295834,0.399055448,-0.732469223,0.463882221,0.999978072,94.14264876
LOC109640040,0.159754091,0.467067972,0.342036065,0.732323752,0.999978072,234.0732831
LOC109640054,-0.509585495,0.343718398,-1.48256683,0.138189536,0.999978072,257.6238208
LOC109640057,1.680673483,2.871512614,0.585292042,0.558351365,0.999978072,83.75677672
LOC109640059,-0.657069908,2.041147579,-0.321912004,0.747519359,0.999978072,1111.8718
LOC109640060,0.036453047,0.403587219,0.090322599,0.928030862,0.999978072,142.2680722
LOC109640062,-0.051380098,0.261348128,-0.196596389,0.844143397,0.999978072,634283.9177
LOC109640088,-0.030917651,0.396812241,-0.077915063,0.937895617,0.999978072,364.5807058
LOC109640093,-0.275982586,0.31053323,-0.888737692,0.374144069,0.999978072,272.8875902
LOC109640099,0.664123921,0.654930305,1.014037548,0.310564836,0.999978072,75.35419788
LOC109640105,0.139451652,0.280077466,0.49790386,0.618551807,0.999978072,922.5810853
LOC109640110,0.014066859,0.397996038,0.035344218,0.971805264,0.999978072,78.52899347
LOC109640111,-0.180801941,0.426385818,-0.424033664,0.671541263,0.999978072,357.2313188
LOC109640112,0.080349915,0.363893516,0.220806118,0.8252434,0.999978072,939.262964
LOC109640115,0.317231006,0.399322956,0.794422161,0.426949707,0.999978072,89.38741015
LOC109640116,0.159396944,0.409473429,0.389272987,0.697074217,0.999978072,95.65686061
LOC109640124,0.060450367,0.429861239,0.140627628,0.888164121,0.999978072,7002.896505
LOC109640131,-0.194871848,0.289121155,-0.67401449,0.500302102,0.999978072,2686.960542
LOC109640142,0.461222663,0.449565572,1.025929678,0.304924733,0.999978072,89.55821913
LOC109640143,1.249129224,0.782777193,1.595765993,0.110541049,0.999978072,80.01477047
LOC109640147,0.10952531,0.405156015,0.270328727,0.786907367,0.999978072,144.2665246
LOC109640148,0.094347443,0.419180507,0.225075932,0.821920204,0.999978072,115.3326748
LOC109640162,0.126824891,0.42829389,0.296116508,0.767141107,0.999978072,3707.140497
LOC109640171,-0.195561135,0.420862536,-0.464667482,0.642169599,0.999978072,79.15011337
LOC109640179,-0.095014032,0.407785474,-0.233000041,0.815761374,0.999978072,347.2341449
LOC109640185,-0.039024282,0.687852724,-0.056733485,0.9547575,0.999978072,760.1508378
LOC109640188,-0.044611659,0.440299668,-0.101321127,0.919295545,0.999978072,75.82463051
LOC109640189,0.720313016,0.545099287,1.321434522,0.186356522,0.999978072,207.310334
LOC109640190,-0.325415534,0.402588549,-0.808307974,0.418913313,0.999978072,185.8123139
LOC109640192,-0.125793328,0.455600678,-0.276104347,0.782467922,0.999978072,25432.65806
LOC109640199,-0.384194866,0.372514375,-1.031355813,0.302373994,0.999978072,289.3111668
LOC109640206,0.049501676,0.305142888,0.162224577,0.871129006,0.999978072,507.9570137
LOC109640211,-0.58239939,0.379771803,-1.5335509,0.125140176,0.999978072,364.1135256
LOC109640219,0.106109137,0.284401588,0.373096148,0.709076886,0.999978072,2146.717373
LOC109640224,0.000710976,0.281185993,0.002528491,0.997982558,0.999978072,3186.912625
LOC109640225,0.026842981,0.475319119,0.056473599,0.954964527,0.999978072,108.4122964
LOC109640232,0.173893487,0.355157141,0.489624076,0.624399936,0.999978072,107.1984995
LOC109640233,0.196751362,0.302256737,0.650941195,0.515084447,0.999978072,67580.62723
LOC109640251,-0.204923854,0.469811997,-0.436182675,0.662704197,0.999978072,114.7414606
LOC109640269,-0.114558886,0.353714507,-0.323873868,0.746033529,0.999978072,364.4626701
LOC109640276,0.312949561,0.290635907,1.076775285,0.281580669,0.999978072,275.6187975
LOC109640281,0.773242787,0.515669599,1.499492676,0.133745867,0.999978072,112.2825404
LOC109640284,0.122790554,0.386253584,0.317901396,0.750559734,0.999978072,5311.37393
LOC109640288,-0.173495325,0.358336854,-0.484168242,0.628266474,0.999978072,135.006431
LOC109640296,0.137404468,0.330640619,0.415570442,0.677724359,0.999978072,127.3979048
LOC109640298,-0.223644965,0.377280919,-0.592781014,0.553327716,0.999978072,167.472269
LOC109640301,0.268703239,0.345993549,0.776613436,0.437386872,0.999978072,331.6771574
LOC109640303,0.19765533,0.386271495,0.511700534,0.608860612,0.999978072,155988.2783
LOC109640304,0.450731739,0.473297269,0.952322712,0.340933343,0.999978072,2079.440121
LOC109640309,0.415448356,0.39282515,1.057591033,0.290241933,0.999978072,11091.64717
LOC109640322,-0.348739437,0.429514366,-0.811938937,0.416826671,0.999978072,174.0666522
LOC109640350,-0.467014912,0.400424913,-1.16629834,0.243493844,0.999978072,158.1459946
LOC109640356,0.760950834,0.548029982,1.388520445,0.164978624,0.999978072,144.0145042
LOC109640364,0.372560454,0.343397005,1.084926335,0.277954283,0.999978072,523.3894648
LOC109640366,0.08813414,0.438402008,0.201034983,0.84067122,0.999978072,75.51532227
LOC109640368,-0.01019126,0.285114772,-0.035744411,0.971486158,0.999978072,375.0404794
LOC109640370,0.503542339,0.383076514,1.314469357,0.188688304,0.999978072,926.6284144
LOC109640374,0.350429625,0.392175819,0.893552351,0.37156145,0.999978072,779.8621176
LOC109640375,-0.359559437,0.403342795,-0.891448767,0.372688465,0.999978072,177.0329935
LOC109640379,-0.077479497,0.510403909,-0.15180036,0.879344398,0.999978072,87.06082793
LOC109640386,0.595522332,0.361927672,1.645418068,0.099883626,0.999978072,757.2253261
LOC109640387,0.147159289,0.417993216,0.352061428,0.724792195,0.999978072,63.55680363
LOC109640392,-0.424337708,0.360009709,-1.17868407,0.238524001,0.999978072,766.4479585
LOC109640395,0.222543549,0.337802067,0.65879866,0.510025068,0.999978072,538.0379965
LOC109640398,0.032513014,0.359485531,0.090443178,0.927935046,0.999978072,115.2651912
LOC109640403,0.059400573,0.468208868,0.12686768,0.899045127,0.999978072,74.00485309
LOC109640406,-0.114854197,0.344050137,-0.333829825,0.738507976,0.999978072,132.7568119
LOC109640412,0.502211973,0.474378044,1.058674571,0.289748013,0.999978072,73.0795396
LOC109640413,-0.263127162,0.292808241,-0.898633046,0.368848151,0.999978072,222.5618141
LOC109640419,-0.135338031,0.370315526,-0.3654668,0.714762985,0.999978072,196.6230177
LOC109640422,0.286404371,0.499327254,0.57358049,0.566251717,0.999978072,82.91766672
LOC109640424,0.254031185,0.534999044,0.474825494,0.63491136,0.999978072,79.96036092
LOC109640439,-0.483172082,0.391669587,-1.23362165,0.217343922,0.999978072,125.2972595
LOC109640453,-0.470051439,0.372683976,-1.261260129,0.207215141,0.999978072,161.7140162
LOC109640454,-0.490230621,0.415050503,-1.181134867,0.237549151,0.999978072,140.2478335
LOC109640472,-0.25006122,0.371844014,-0.672489566,0.50127208,0.999978072,599.775156
LOC109640480,0.295272412,0.421432438,0.700639973,0.483527726,0.999978072,71.84613792
LOC109640490,0.196998778,0.307977437,0.639653282,0.522398035,0.999978072,476.4510759
LOC109640501,-0.330223338,0.426746253,-0.773816607,0.43903925,0.999978072,72.97758471
LOC109640506,-0.272812889,0.489743283,-0.557052845,0.577491324,0.999978072,66.53755593
LOC109640512,-0.310179874,0.370659322,-0.836832788,0.402686564,0.999978072,457.3651855
LOC109640518,0.343470042,0.361541523,0.950015475,0.342104389,0.999978072,107.2976097
LOC109640529,0.55412765,0.610276525,0.907994373,0.363881195,0.999978072,81.81812933
LOC109640541,-0.14934325,0.401249229,-0.37219573,0.709747125,0.999978072,80.28393946
