"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-pdp1|pdp1",1849.41995008791,1.36869675167958,0.349636846491627,3.91462388879647,9.05452378575823e-05,0.0533725044984963
"gene-LOC109646726|LOC109646726",26.880940194255,8.01138086747291,2.05781075876279,3.89315724653396,9.89479687158056e-05,0.0562279811902462
"gene-gadd45g|gadd45g",2050.6507216663,2.15946490060191,0.557911015942449,3.87062602976935,0.00010855621683624,0.0597601973683503
"gene-LOC109636704|LOC109636704",1571.98664386779,1.88088871823386,0.492337440375738,3.82032436289717,0.00013327628488092,0.0711453040746146
"gene-LOC109642598|LOC109642598",82.9232457006332,3.6750460636655,0.965884869176409,3.80484898453698,0.00014189073195181,0.0735160921783262
"gene-jun|jun",849.480462762145,2.29280786652865,0.609705519062871,3.7605168312282,0.000169562664845957,0.078605681682273
"gene-LOC109646467|LOC109646467",348.157053008235,2.87219151942247,0.76018716614703,3.77826888867386,0.000157922314891981,0.078605681682273
"gene-dennd3|dennd3",12.2670890448405,6.87713664932089,1.82710810761638,3.76394621678556,0.000167252870576859,0.078605681682273
"gene-LOC109633746|LOC109633746",33.1216944812656,8.31449427781049,2.20786554265934,3.76585173198355,0.000165982274435468,0.078605681682273
"gene-LOC109636958|LOC109636958",279.232223003593,1.81250246494979,0.483308094378707,3.75020092986392,0.000176692929766496,0.0798108371991433
"gene-kif20a|kif20a",12.0292018682793,6.86403734841364,1.83448684214287,3.74166616556145,0.000182804245846878,0.0805069898709649
"gene-LOC109643760|LOC109643760",845.381579150257,2.66045787454275,0.714059120671167,3.72582297113172,0.000194679004764707,0.0836454962910996
"gene-bok|bok",10.7343302483313,6.68772147089209,1.80133311362589,3.71265115835817,0.000205099490703582,0.0840240146100999
"gene-tor3a|tor3a",1275.61287465173,2.02235587353499,0.543956761555167,3.71786144868039,0.000200916404559465,0.0840240146100999
"gene-snx24|snx24",1829.72083407259,1.99694631040049,0.539160243411063,3.70380853337139,0.000212386585520419,0.0850318656938114
"gene-LOC109636368|LOC109636368",53.5225841080155,3.68697597466378,0.997822279436622,3.69502270158317,0.000219867141896953,0.0860706571479273
"gene-LOC109628908|LOC109628908",128.924110937685,1.43252290322842,0.38903103283287,3.68228439977393,0.000231153333443326,0.0866382366369707
"gene-LOC109641811|LOC109641811",109.27073305903,10.0393459050761,2.72240819541156,3.68767105608805,0.000226315952004662,0.0866382366369707
"gene-sema5a|sema5a",48.4101906323195,3.32516389864279,0.907888926656749,3.66252280539154,0.000249743511086374,0.0879896338259512
"gene-LOC109633928|LOC109633928",1069.87169160853,0.912884201575029,0.249170824267205,3.66368817159778,0.000248609422753895,0.0879896338259512
"gene-tmprss15|tmprss15",16.3389107411015,7.29655590835436,1.98989481044321,3.66680483313044,0.000245600098947168,0.0879896338259512
"gene-LOC109630232|LOC109630232",1562.3917941462,-0.965806512077483,0.264544290106459,-3.65083106382232,0.000261393136541691,0.0885519517945853
"gene-LOC109641744|LOC109641744",13.6672214890443,7.03177566398628,1.92360072709138,3.65552765964006,0.000256653532954798,0.0885519517945853
"gene-zbtb21|zbtb21",377.147495262029,2.09351862769647,0.57791122276558,3.62256094920253,0.000291700699722609,0.0969547080436505
"gene-LOC109639577|LOC109639577",1241.15926009874,2.16019792595984,0.597319663286998,3.61648554154815,0.000298629989796011,0.0974197388934542
"gene-LOC109643303|LOC109643303",11.7135235490011,6.80932960634253,1.8887854481145,3.60513663060037,0.000311988744668325,0.0999271586559492
"gene-LOC109638955|LOC109638955",114.299606202665,1.30824269639501,0.366515504019688,3.56940615621197,0.000357791354276733,0.112550937445338
"gene-LOC109636186|LOC109636186",10.4577512807931,6.65026991040924,1.86579989742854,3.56429964412298,0.000364828998329983,0.112751362010193
"gene-LOC109639927|LOC109639927",1507.15417352074,1.44398819496331,0.405707497169952,3.55918538611186,0.000372006878635733,0.112987468518053
"gene-LOC109630335|LOC109630335",2636.9425679419,1.4578756825957,0.411701641038411,3.54109757473539,0.000398466190173277,0.118972549255804
"gene-klf15|klf15",1413.29276264753,2.67984126085795,0.762456232851195,3.51474766077618,0.000440172024976284,0.129234506533037
"gene-LOC109625787|LOC109625787",316.543849250673,2.54873644391291,0.727534962467085,3.50324943184874,0.000459618850874478,0.130811245904715
"gene-LOC109625845|LOC109625845",448.864325672344,3.13065081903316,0.893756479214185,3.50280069777588,0.000460393803706423,0.130811245904715
"gene-LOC109626295|LOC109626295",2168.25353059981,7.02018662075462,2.02302874236396,3.47013686644479,0.000520193218471416,0.133280684250789
"gene-LOC109625268|LOC109625268",9.19473006980974,6.46316510376913,1.86715839472991,3.46149802931103,0.000537178053008971,0.133280684250789
"gene-LOC109627067|LOC109627067",6695.23232738177,2.61623413332608,0.755684152286174,3.46207357321333,0.000536030600996603,0.133280684250789
"gene-LOC109628943|LOC109628943",2076.70818110778,-1.646688784125,0.475409669278182,-3.46372589902343,0.000532749064480361,0.133280684250789
"gene-LOC109630316|LOC109630316",5294.53862797901,0.709696403858406,0.203964032571274,3.47951741741725,0.000502317716029497,0.133280684250789
"gene-tet3|tet3",588.751580406939,1.68333836100776,0.485259678867974,3.46894340146846,0.000522509518348311,0.133280684250789
