"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC109629024|LOC109629024",278.094866409643,2.80029597064513,0.511196553356343,5.47792420011313,4.30344396905304e-08,0.000751209179237899
"gene-LOC109626020|LOC109626020",3964.70514253252,1.20945944495781,0.255734009974945,4.72936487828234,2.2522329155064e-06,0.00327624814775664
"gene-LOC109632292|LOC109632292",587.15575512407,4.21993555225708,0.848167887399684,4.97535407193329,6.51284830178029e-07,0.00327624814775664
"gene-LOC109636810|LOC109636810",290.370090487503,4.83695665667717,0.995105353569378,4.86074830099881,1.16942862863044e-06,0.00327624814775664
"gene-LOC109637784|LOC109637784",219.709085950547,2.96050960130655,0.62596849535325,4.72948658484139,2.25088326866648e-06,0.00327624814775664
"gene-ulk2|ulk2",1957.69342321488,2.30339570095261,0.483463653201428,4.76436167579477,1.89452426428702e-06,0.00327624814775664
"gene-LOC109641900|LOC109641900",449.265818478977,1.83529963833298,0.376146625211087,4.87921335809684,1.06509795527887e-06,0.00327624814775664
"gene-LOC109643392|LOC109643392",13293.6380811629,2.11577825067813,0.447099399531053,4.73223236912709,2.2206398990305e-06,0.00327624814775664
"gene-LOC109644593|LOC109644593",787.904654325671,1.59453811578485,0.336444495125093,4.73937941886072,2.14373760366391e-06,0.00327624814775664
"gene-LOC109646396|LOC109646396",16731.0101463557,3.47813579660045,0.730968336337879,4.75825781185785,1.95270996369148e-06,0.00327624814775664
"gene-kcne1|kcne1",31.068357656697,20.9941526338527,4.40898118836495,4.76167888610074,1.91989006388538e-06,0.00327624814775664
"gene-bco2|bco2",36.9096369513335,21.236433195892,4.40872753405398,4.81690760698117,1.45800157141432e-06,0.00327624814775664
"gene-LOC109644348|LOC109644348",315.171839339772,3.97646959691101,0.852055768333513,4.66691236031224,3.05759667757611e-06,0.00410564673875143
"gene-LOC109647435|LOC109647435",19.0004831950048,20.3109583346916,4.40999522736199,4.60566447071676,4.11150872830067e-06,0.00478469975741443
"gene-LOC109626088|LOC109626088",19.7707730542617,20.3624933156848,4.40989352177238,4.61745691027499,3.88471311267912e-06,0.00478469975741443
"gene-LOC109633427|LOC109633427",34.7825816930614,8.38112570821839,1.8721569986706,4.47672161798916,7.57979808293988e-06,0.00826955970848741
"gene-angptl3|angptl3",976.332196667563,2.25112241008375,0.511679113967024,4.39948074610844,1.0851020377812e-05,0.0105230784286159
"gene-LOC109640890|LOC109640890",286.115072363068,1.61003702026631,0.365444591481713,4.40569393499117,1.05445762646977e-05,0.0105230784286159
"gene-LOC109632994|LOC109632994",800.028012084427,3.91666295696271,0.897205506604929,4.3654022719762,1.26889023773314e-05,0.0116577620999314
"gene-LOC109630364|LOC109630364",2356.57326524695,3.29184329681321,0.775097078982095,4.24700774403157,2.16644474183797e-05,0.0189087297067618
"gene-LOC109646207|LOC109646207",665.66756560995,-1.40280909066674,0.334979397816246,-4.18774736539545,2.81736876115125e-05,0.0234190424260268
"gene-cunh14orf180|cunh14orf180",1230.84525260703,0.97666610307828,0.234487047006539,4.16511750029009,3.11192251000165e-05,0.0246916906066313
"gene-neurod2|neurod2",26.7022810700586,7.99512697096526,1.93175252978605,4.13879461664314,3.49135321302644e-05,0.0264978529072129
"gene-cxcr4|cxcr4",218.471897132984,2.34923780519454,0.58217315556504,4.03529050204048,5.4534780809878e-05,0.0396649639090513
"gene-p4ha2|p4ha2",838.577651302656,3.63846535122252,0.904047295437616,4.02464049124916,5.70624204143547e-05,0.039843264430119
"gene-ell|ell",312.696288517094,1.4828623522252,0.373389747886696,3.97135261644938,7.14657079887415e-05,0.0476868511132118
"gene-LOC109646726|LOC109646726",31.4118852274115,8.23083902940421,2.0764909025944,3.96382137726703,7.37594511948166e-05,0.0476868511132118
"gene-gadd45g|gadd45g",2526.54490943549,2.17708737132635,0.551458696158168,3.9478702330626,7.8849522127495e-05,0.0491570449377698
"gene-LOC109634790|LOC109634790",802.208617401179,5.89349569917649,1.49861198511133,3.93263617115585,8.40193560695498e-05,0.0505738579155193
"gene-LOC109632575|LOC109632575",541.115883258383,2.32115171209984,0.593716130344164,3.9095311605469,9.24754266031305e-05,0.0507444440442754
"gene-dennd3|dennd3",15.2336038381633,7.18431319915057,1.84181980192667,3.90066020119627,9.59307202945169e-05,0.0507444440442754
"gene-pdp1|pdp1",2239.02162348628,1.37030139153993,0.350046401174323,3.91462785203016,9.05437506855436e-05,0.0507444440442754
"gene-LOC109636704|LOC109636704",1946.58470879283,1.89086192140646,0.484716889144546,3.90096149681013,9.58113902390843e-05,0.0507444440442754
"gene-LOC109636186|LOC109636186",13.7488737471941,7.03989724828398,1.81601077937777,3.87657239055382,0.000105938300948484,0.0543899700399038
"gene-LOC109636958|LOC109636958",339.313345671954,1.85075318587021,0.478820467587464,3.86523407237628,0.000110982711934909,0.055351834843879
"gene-jun|jun",1038.86835868688,2.31832789405741,0.610760834792991,3.79580313928147,0.000147166246575336,0.0617599399078452
"gene-LOC109646467|LOC109646467",422.064229762874,2.83766866511311,0.745137030877581,3.80825076130099,0.000139953311671055,0.0617599399078452
"gene-tor3a|tor3a",1556.4354871748,2.05039248153971,0.538513864945247,3.80750174695722,0.000140377747825405,0.0617599399078452
"gene-kif20a|kif20a",13.9524985245784,7.07108191775423,1.85345521794224,3.81508107091186,0.000136138231420415,0.0617599399078452
"gene-LOC109641488|LOC109641488",12.3421447414701,6.88428497341094,1.79949749626573,3.82567077069961,0.000130416490175702,0.0617599399078452
