NAME,rank
LIN28A,5.90991305703757
BCO2,5.69751049327683
ULK2,5.73860496540044
KCNE1,5.61517075369259
ANGPTL3,4.77281559235146
CXCR4,4.56395747717147
NEUROD2,4.36481840630118
P4HA2,4.2875010932286
CUNH14ORF180,4.26288550591227
ELL,4.20351342081031
PDP1,4.04323922027556
GADD45G,3.96447677558062
JUN,3.77080219585444
DENND3,3.77666573036016
KIF20A,3.73804624621693
BOK,3.68807579186345
TOR3A,3.69708449185307
SNX24,3.67297286439263
SEMA5A,3.60259479118638
TMPRSS15,3.60980548920386
ZBTB21,3.53519875993776
KLF15,3.35643658852631
TET3,3.28203656147717
PPTC7,3.304627786928
STBD1,3.29412122004215
STARD5,3.21155407455053
CIDEC,-3.18454208748808
MAP3K8,3.16245908140301
CENPN,3.1490967648363
SOAT1,3.11341125072346
FAM214B,-3.10593971421189
CEBPA,3.02074094698465
ELOVL5,2.9834018440909
LONP1,2.9732259614066
TXNIP,2.97027343942719
ICE2,-2.95865762598601
TMEM244,2.921508461541
SRSF5,-2.87162337018187
ATF3,2.85018142646586
G0S2,2.83523171109533
PPP1R3B,2.83786991497766
FOSL1,2.80619319359416
PRPF31,-2.80018124790554
VSTM5,2.78977857703714
MGEA5,-2.7592118661319
TMPRSS7,2.74806700763865
HPS6,2.73822951139801
TMCC3,-2.7118507836662
RGCC,2.70747776455252
CAMSAP2,2.70154845150498
FBXO31,2.68929879666538
BBS1,2.6554584414698
CISH,-2.64961065116859
WNT9A,-2.63730720957398
MYOM1,2.60635420537325
ANKRD9,2.60359732869413
FLCN,2.59765469544084
EIF2AK3,2.58353816262653
RBMX,2.57719923731536
DDIT4,2.56745831493186
OPN3,2.51930510940335
ATP10A,2.52011740992362
TMEM45A,2.49315813569209
BCL2L14,2.49241590921553
PLBD1,2.49741205954564
APTX,2.47756393722433
P4HA1,2.47166728247473
HOOK3,2.46869626069577
CUNH3ORF52,2.45902088189147
ADPRHL1,2.44240386579708
SLC25A20,2.43023892497495
RNF208,2.41819847134008
BLM,-2.39559822569015
IFRD1,2.33604736102971
NT5E,2.32160196474703
PKIB,2.30092011225756
ARF4,2.30677470341778
GLS2,-2.2945836718228
PPP1R10,2.29361566162787
MTF2,-2.26220180403018
FAIM2,2.25680731669716
SERTAD2,2.24513721870141
DNMT1,-2.24660684416427
LURAP1L,2.23232451278282
RHOF,-2.22645660500467
SYCP1,-2.21090600604612
ELOVL7,2.21102640439132
OTX1,2.21346211735533
SLC25A16,2.20314184568904
LMTK3,2.2036602642297
CCNJ,2.19255319457162
FOXN2,2.18499651320779
ATF2,2.19191606269285
LIN37,-2.1996182314411
CNN1,2.18852021147558
ATXN7L2,2.17863212234158
PHC3,-2.17440971680119
CACNB1,-2.17370202069395
HNF1B,2.16620605775364
COLGALT1,2.15108731792029
DIS3L2,-2.14919291056574
NFYB,-2.13725964961084
SLC38A4,2.13366856485122
LYSMD3,2.11931637327249
RBM15B,2.1185636694338
IRAK1,2.11914929785047
MDGA2,2.11257659910139
TTYH1,2.09915810548136
SPECC1L,2.10998779899808
MSANTD1,2.10233007145982
COQ10B,2.10282541013271
RBM12,-2.1055415095013
NUFIP2,2.09561275092322
RHOQ,-2.09141365159588
SART1,-2.09264443506656
DUSP8,2.08462260033712
ERAL1,-2.06752140452459
CUNH21ORF59,2.07168326840705
CIART,2.07388016859618
SLC15A1,2.06743441359534
HEBP1,2.06933465432733
PNPLA2,2.0610192640607
FAM102A,2.05823666644982
PPIG,-2.05063388896288
RIN2,-2.03690107721594
FAM198B,-2.04012641360264
DCAF17,-2.02818489580598
MTHFD2,2.02753479036218
PMM1,2.01167108194372
CNGA3,2.00816342078238
ALPK2,1.98765005235771
PCGF3,1.98703148360738
NR4A3,1.9751665864577
FRRS1L,1.96181435308022
RALGDS,1.96352263032579
NFE2L1,1.95834853806083
IPPK,1.95991952027783
CUNH11ORF57,1.94799953045224
CHAF1A,-1.94126490676512
ARRDC3,-1.9414601691359
SFRP5,1.93606783208205
HES1,1.93171109105179
CSNK1D,1.93141328333609
DHODH,-1.91796975832194
DGCR8,-1.92007589156509
SKIL,1.89309395182731
GET4,-1.89407251375288
AAR2,-1.88784886538881
SLC24A4,1.88159995145239
STARD7,1.87548343589066
COL1A2,1.87595669173503
SLC3A2,1.87000603323169
AAED1,1.87055828830641
WISP2,1.8720409084414
MPV17L,1.85441917833614
TRIP13,-1.85794105686744
MAP4K5,1.85733186834597
TBC1D2B,1.84890205158119
ALDOC,1.83185167792011
RNF157,1.83010578408864
RGS3,1.81733505363686
SF3B4,-1.81798376246064
SULT6B1,1.81565930835632
SMAD6,1.8137707181597
PFKFB3,1.80788193790741
HNF4A,-1.80609827594108
HEMK1,1.80411367500777
BPHL,1.80178713002509
GRASP,1.79943673457813
CREB3L2,1.79981980774884
PIWIL1,-1.79413840675839
SGPP2,1.7939220290082
FAM107B,1.78959398869303
GRINA,1.78660380478022
LIN9,-1.78505980685474
RREB1,1.78716906068911
ATP4B,1.78048826175958
UBE2A,1.77379649214782
CTGF,1.77113689780147
THNSL2,1.77224781412137
ARID3B,1.7604918160622
DCAF4,1.76122768748893
GAS2L3,1.76544303162555
FAM234B,1.76311220268803
KIAA0513,1.75540177455727
WNT8B,1.75149404354633
USP42,1.73513591192595
PAK4,1.73467741810346
TAT,1.73398451957612
MAP3K10,1.73121799615533
BMPR1B,-1.72893059503147
PGAP3,1.72692418595762
GTF2F1,-1.72184646111023
PPP1CC,1.7203047526202
MTR,1.71832535745325
BMI1,-1.71880287646246
TRAF6,1.71514021602612
