NAME,rank
ULK2,5.72249982808839
KCNE1,5.71672363901254
BCO2,5.83624200794109
ANGPTL3,4.96452942092909
CUNH14ORF180,4.50697122591682
NEUROD2,4.45700621228334
CXCR4,4.26332642807262
P4HA2,4.24364981083695
ELL,4.14590229951039
GADD45G,4.10320093439622
DENND3,4.01804229462354
PDP1,4.0431415192477
JUN,3.83219178651349
TOR3A,3.8527017295463
KIF20A,3.86601989563934
TMPRSS15,3.75255972928785
ELOVL7,3.698751691017
SEMA5A,3.60987464024933
BOK,3.52395591280821
SNX24,3.45595247699709
STBD1,3.45562415720807
CIDEC,-3.38867514263958
TET3,3.36961751016255
KLF15,3.35345345042883
CENPN,3.30317794765759
ICE2,-3.24735144016158
PPTC7,3.25164246739405
ZBTB21,3.23457669369223
FAM214B,-3.209778979668
ELOVL5,3.17410566038082
SOAT1,3.16337509349566
MAP3K8,3.16481874570951
TMEM244,3.15655392338011
STARD5,3.09420824937619
OPN3,3.08176900448326
CEBPA,3.07368243270618
LONP1,3.01227676450469
TXNIP,2.99275899824042
HPS6,2.96641750468059
G0S2,2.92648908597293
TMPRSS7,2.91848179056448
MGEA5,-2.89109107736848
CAMSAP2,2.86893452593861
CISH,-2.86671645733922
TMCC3,-2.88331258494254
ATF3,2.84871379285168
PRPF31,-2.82385236033473
SRSF5,-2.84023207704114
BIN2,2.82619285928214
FOSL1,2.80942194251907
PPP1R3B,2.80840166796324
BBS1,2.79596970459314
FLCN,2.76283630415111
MYOM1,2.74347542838348
RBMX,2.71393046783205
RGCC,2.7113161652381
HOOK3,2.69484812267641
WNT9A,-2.68713026754426
ADPRHL1,2.68093422885143
TMEM45A,2.63667901546028
SLC25A20,2.59425431926194
EIF2AK3,2.56907133308013
APTX,2.55789625088833
ATP10A,2.54978927192515
DDIT4,2.54586018542899
CUNH3ORF52,2.53586514097441
CACNB1,-2.51324780445184
ATXN7L2,2.45722474426522
IFRD1,2.41440244151562
PEA15,2.40884808168788
KIAA1024,2.40618874768438
PLBD1,2.39910358617355
P4HA1,2.3942155616382
PKIB,2.36347932148858
AAED1,2.36546774014611
BCL2L14,2.36264654801327
FBXO31,2.35028100913397
GLS2,-2.33989366914905
RNF208,2.33020429836848
COLGALT1,2.33443607067007
DNMT1,-2.31151201993444
CNGA3,2.30998671377161
FOXN2,2.29037068653472
RBM12,-2.2909177533418
OTX1,2.29633863076928
SERTAD2,2.28522940735536
SKIL,2.28722987128899
BLM,-2.26658272526419
RHOF,-2.26677784294052
DNAL1,2.27198532466478
LMTK3,2.27672062326108
PIWIL1,-2.26959038788038
HNF1B,2.25614957511588
LYSMD3,2.24762547580031
SETBP1,2.23659811118953
PPP1R10,2.23822743929138
MTF2,-2.2172508286341
NUFIP2,2.21813210974635
LURAP1L,2.21999719179227
ATF2,2.16817657581027
SPECC1L,2.18043251383057
MSANTD1,2.16887771221441
ARF4,2.17757480053605
SLC15A1,2.17614229000633
COQ10B,2.16637620811052
NR4A3,2.16832857888376
MDGA2,2.15150901304913
SLC38A4,2.14823550575681
DCAF17,-2.13722353965818
PPIG,-2.13505046663141
CCNJ,2.12801830791827
ERAL1,-2.13181675771148
DGCR8,-2.12695900841555
DUSP8,2.13024750505042
SLC25A16,2.11988777585915
PHC3,-2.11553280750818
SLC24A4,2.11419243849009
PNPLA2,2.10969507054235
ANKRD9,2.10709327324891
SART1,-2.09997731503272
RHOQ,-2.0929513901551
DIS3L2,-2.08227664621264
NT5E,2.0800865400868
IPPK,2.0709920398075
RALGDS,2.06536219723247
NFYB,-2.05900102642541
FAIM2,2.05098817532456
PMM1,2.03572582261211
IRAK1,2.02648061557584
GAS2L3,2.01949153046218
CIART,2.02021498160972
CSNK1D,2.00774720599877
CREB3L2,2.01018516973381
HEBP1,2.00782884665171
TRIP13,-1.99328620428479
SLC3A2,1.99963879550514
MAP4K5,1.99177363268094
NFE2L1,1.99360866680659
RBM15B,1.99667955182949
GET4,-1.98930121536653
ALPK2,1.98463679927098
SULT6B1,1.97821744883227
CHAF1A,-1.97135667091468
USP42,1.96003974913119
FRRS1L,1.96142022362177
BPHL,1.93740945087513
SFRP5,1.93059490021112
ARRDC3,-1.92749598853653
ATP4B,1.91785764990453
ALDOC,1.91549404869258
TTYH1,1.9105939849731
MTR,1.903918951677
MTHFD2,1.89311894502413
SF3B4,-1.89817933847992
FAM102A,1.8933945514262
MPV17L,1.88742002908232
CCND1,-1.87905139446705
TBC1D2B,1.86675582357738
FAM198B,-1.86605079858178
GRASP,1.86757710230667
LIN37,-1.86448906490432
WISP2,1.85572259885958
RIN2,-1.85095370210344
CIB1,1.84859647374327
FAM107B,1.84260652444786
GRINA,1.83750313290714
RGS3,1.83480690046703
SPRTN,1.83256150740695
CBY1,1.82513835957175
MAP3K10,1.82775560446961
COL1A2,1.82901485812379
CTGF,1.82913384956713
PGAP3,1.82974155666638
FAM234B,1.8256344075766
USP1,-1.81873480988036
PCGF3,1.81685342316331
RNF157,1.81367310033679
ARID3B,1.81098107208465
PHLDA2,1.80807960365029
UBE2A,1.79489184969282
STARD7,1.79610888536393
RREB1,1.7994090351665
DHODH,-1.7887539274186
HES1,1.78373531896198
WNT8B,1.76938495004567
ADAL,-1.77736099100931
DCAF4,1.76939332954574
CUNH21ORF59,1.77431145902014
LIN9,-1.76966792112889
HOPX,1.7747596398422
NUAK1,1.76719836317854
CYSTM1,1.76419962294745
ISCA2,1.75824086252223
PAK4,1.76010818129113
INTS14,-1.7552245982767
DLL1,1.75314645613777
TAT,1.74596392557012
THNSL2,1.745054795391
